Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-10-15 06:00:00, -56.534000, 28.075400, 40, 2019, 10, 15, 6, 0, 0.7, 975.2, 2.7, 14.0, 0, 44, 28, 7, 2827479809C92FC6BFFB41FFC000A3689FBFF23AFF
2019-10-15 05:00:00, -56.543600, 28.043200, 40, 2019, 10, 15, 5, 0, 0.7, 975.1, 0.7, 14.0, 0, 48, 28, 9, 2827479409C72FC1BFFB427FC000A35C9FBEB03B3F
2019-10-15 04:00:00, -56.548000, 28.013200, 40, 2019, 10, 15, 4, 0, 0.7, 974.9, 0.0, 14.0, 0, 48, 60, 15, 2827479009C32FBFFFFB43FFC000A3571FBD847B3F
2019-10-15 03:00:00, -56.552600, 27.986600, 40, 2019, 10, 15, 3, 0, 0.7, 972.4, -2.3, 14.0, 0, 44, 24, 24, 2827478C09912FBA3FFB463FC000A3515FBC7A32FF
2019-10-15 02:00:00, -56.559800, 27.962400, 40, 2019, 10, 15, 2, 0, 0.6, 974.4, -1.1, 14.0, 0, 44, 28, 19, 2827478809B92F3D3FFB44FFC000A3485FBB883AFF
2019-10-15 01:00:00, -56.564000, 27.942200, 40, 2019, 10, 15, 1, 0, 0.7, 974.9, -0.9, 14.0, 0, 48, 70, 7, 2827478409C32FBDBFFB41FFC000A3431FBABE8F3F
2019-10-15 01:00:00, -56.564000, 27.942200, 40, 2019, 10, 15, 1, 0, 0.7, 974.9, -0.9, 14.0, 0, 48, 70, 7, 2827478409C32FBDBFFB41FFC000A3431FBABE8F3F
2019-10-15 00:00:00, -56.565600, 27.923200, 40, 2019, 10, 15, 0, 0, 0.7, 974.7, -1.3, 14.0, 0, 44, 44, 14, 2827478009BF2FBCBFFB43BFC000A3411FBA005AFF
2019-10-14 23:00:00, -56.564800, 27.909200, 40, 2019, 10, 14, 23, 0, 0.7, 975.5, -0.7, 14.0, 0, 44, 64, 7, 2827475C09CF2FBE3FFB41FFC000A3421FB97482FF
2019-10-14 22:00:00, -56.563200, 27.897400, 40, 2019, 10, 14, 22, 0, 0.7, 975.8, -0.8, 14.0, 0, 48, 168, 7, 2827475809D52FBDFFFB41FFC000A3441FB8FF533F
2019-10-14 21:00:00, -56.561400, 27.883600, 40, 2019, 10, 14, 21, 0, 0.7, 976.0, -1.2, 14.0, 0, 44, 58, 11, 2827475409D92FBCFFFB42FFC000A3465FB87476FF
2019-10-14 20:00:00, -56.558800, 27.871400, 40, 2019, 10, 14, 20, 0, 0.7, 976.2, -1.2, 14.0, 0, 44, 84, 7, 2827475009DD2FBCFFFB41FFC000A3499FB7FAAAFF
2019-10-14 19:00:00, -56.556800, 27.859400, 40, 2019, 10, 14, 19, 0, 0.7, 976.6, -1.3, 14.0, 0, 44, 54, 12, 2827474C09E52FBCBFFB433FC000A34C1FB7826EFF
2019-10-14 18:00:00, -56.554200, 27.844200, 40, 2019, 10, 14, 18, 0, 0.7, 977.2, -1.1, 14.0, 0, 44, 58, 12, 2827474809F12FBD3FFB433FC000A34F5FB6EA76FF
2019-10-14 17:00:00, -56.549600, 27.832800, 40, 2019, 10, 14, 17, 0, 0.7, 977.3, -1.5, 14.0, 0, 48, 52, 11, 2827474409F32FBC3FFB42FFC000A3551FB6786B3F
2019-10-14 16:00:00, -56.543400, 27.823800, 40, 2019, 10, 14, 16, 0, 0.7, 977.9, -1.9, 14.0, 0, 44, 44, 8, 2827474009FF2FBB3FFB423FC000A35CDFB61E5AFF
2019-10-14 15:00:00, -56.536400, 27.814200, 40, 2019, 10, 14, 15, 0, 0.7, 978.3, -1.7, 14.0, 0, 44, 72, 13, 2827473C0A072FBBBFFB437FC000A3659FB5BE92FF
2019-10-14 14:00:00, -56.528600, 27.806800, 40, 2019, 10, 14, 14, 0, 0.7, 978.8, -1.8, 14.0, 0, 44, 82, 22, 282747380A112FBB7FFB45BFC000A36F5FB574A6FF
2019-10-14 13:00:00, -56.519200, 27.799800, 40, 2019, 10, 14, 13, 0, 0.7, 979.8, -1.9, 14.0, 0, 44, 46, 7, 282747340A252FBB3FFB41FFC000A37B1FB52E5EFF
2019-10-14 12:00:00, -56.508800, 27.790600, 40, 2019, 10, 14, 12, 0, 0.7, 980.0, -2.4, 14.0, 0, 44, 64, 11, 282747300A292FB9FFFB42FFC000A3881FB4D282FF
2019-10-14 11:00:00, -56.498000, 27.788000, 40, 2019, 10, 14, 11, 0, 0.7, 980.6, -2.2, 14.0, 0, 44, 34, 9, 2827472C0A352FBA7FFB427FC000A3959FB4B846FF
2019-10-14 10:00:00, -56.487000, 27.788400, 40, 2019, 10, 14, 10, 0, 0.7, 981.6, -1.3, 14.0, 0, 44, 30, 9, 282747280A492FBCBFFB427FC000A3A35FB4BC3EFF
2019-10-14 09:00:00, -56.476200, 27.789200, 40, 2019, 10, 14, 9, 0, 0.7, 982.4, -0.9, 14.0, 0, 44, 48, 13, 282747240A592FBDBFFB437FC000A3B0DFB4C462FF
2019-10-14 08:00:00, -56.465000, 27.790000, 40, 2019, 10, 14, 8, 0, 0.7, 982.8, -1.9, 14.0, 0, 44, 48, 17, 282747200A612FBB3FFB447FC000A3BEDFB4CC62FF
2019-10-14 07:00:00, -56.453600, 27.791400, 40, 2019, 10, 14, 7, 0, 0.7, 982.9, -1.6, 14.0, 0, 48, 28, 7, 2827471C0A632FBBFFFB41FFC000A3CD1FB4DA3B3F
2019-10-14 06:00:00, -56.442800, 27.796000, 40, 2019, 10, 14, 6, 0, 0.6, 983.3, -0.7, 14.0, 0, 44, 54, 7, 282747180A6B2F3E3FFB41FFC000A3DA9FB5086EFF
2019-10-14 05:00:00, -56.432200, 27.803400, 40, 2019, 10, 14, 5, 0, 0.7, 984.7, 1.4, 14.0, 0, 44, 76, 9, 282747140A872FC37FFB427FC000A3E7DFB5529AFF
2019-10-14 04:00:00, -56.423600, 27.810600, 40, 2019, 10, 14, 4, 0, 0.6, 984.5, 1.4, 14.0, 0, 44, 52, 8, 282747100A832F437FFB423FC000A3F29FB59A6AFF
2019-10-14 03:00:00, -56.416200, 27.812800, 40, 2019, 10, 14, 3, 0, 0.6, 984.0, 0.9, 14.0, 0, 44, 46, 7, 2827470C0A792F423FFB41FFC000A3FBDFB5B05EFF
2019-10-14 02:00:00, -56.409600, 27.814400, 40, 2019, 10, 14, 2, 0, 0.6, 983.3, 0.8, 14.0, 0, 44, 76, 9, 282747080A6B2F41FFFB427FC000A4041FB5C09AFF
2019-10-14 01:00:00, -56.405000, 27.813000, 40, 2019, 10, 14, 1, 0, 0.6, 983.1, 0.2, 14.0, 0, 48, 46, 7, 282747040A672F407FFB41FFC000A409DFB5B25F3F
2019-10-14 00:00:00, -56.402200, 27.807000, 40, 2019, 10, 14, 0, 0, 0.6, 983.1, 0.6, 14.0, 0, 44, 58, 14, 282747000A672F417FFB43BFC000A40D5FB57676FF
