time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min)
2016-01-18T13:00:00,-75.0616,-35.9552,NaN,1.7,983.2,-25.5,15.600000,48.000000,60
2016-01-18T14:00:00,-75.0616,-35.9552,0.000,2.0,983.2,-25.5,15.600000,48.000000,120
2016-01-18T15:00:00,-75.0590,-35.9610,NaN,2.1,983.5,0.7,15.600000,48.000000,0
2016-01-18T16:00:00,-75.0590,-35.9610,NaN,2.3,983.7,0.5,15.600000,48.000000,60
2016-01-18T17:00:00,-75.0590,-35.9610,0.031,2.5,984.1,0.9,15.600000,48.000000,120
2016-01-18T18:00:00,-75.0644,-35.9490,NaN,2.7,984.4,0.9,15.600000,48.000000,0
2016-01-18T19:00:00,-75.0644,-35.9490,NaN,2.7,984.8,1.0,15.600000,48.000000,60
2016-01-18T20:00:00,-75.0644,-35.9490,0.064,2.7,985.3,1.2,15.600000,48.000000,120
2016-01-18T21:00:00,-75.0660,-35.9098,NaN,2.5,985.5,1.1,15.600000,48.000000,0
2016-01-18T22:00:00,-75.0660,-35.9098,NaN,2.3,986.0,1.2,15.600000,48.000000,60
2016-01-18T23:00:00,-75.0660,-35.9098,0.106,2.0,986.3,1.0,15.600000,48.000000,120
2016-01-19T00:00:00,-75.0632,-35.8698,NaN,1.5,986.9,1.4,15.600000,52.000000,0
2016-01-19T01:00:00,-75.0632,-35.8698,NaN,1.1,987.2,1.2,15.600000,52.000000,60
2016-01-19T02:00:00,-75.0632,-35.8698,0.110,0.6,987.2,0.8,15.600000,52.000000,120
2016-01-19T03:00:00,-75.0624,-35.8424,NaN,-0.1,987.3,0.4,15.400000,48.000000,0
2016-01-19T04:00:00,-75.0624,-35.8424,NaN,-1.0,987.5,0.3,15.400000,48.000000,60
2016-01-19T05:00:00,-75.0624,-35.8424,0.073,-1.7,987.4,0.3,15.400000,48.000000,120
2016-01-19T06:00:00,-75.0628,-35.8106,NaN,-1.9,987.8,0.5,15.400000,48.000000,0
2016-01-19T07:00:00,-75.0628,-35.8106,NaN,-1.8,988.1,0.6,15.400000,48.000000,60
2016-01-19T08:00:00,-75.0628,-35.8106,0.085,-1.9,988.3,0.9,15.400000,48.000000,120
2016-01-19T09:00:00,-75.0560,-35.7730,NaN,-1.8,988.6,0.8,15.400000,48.000000,0
2016-01-19T10:00:00,-75.0560,-35.7730,NaN,-1.5,988.8,0.7,15.400000,48.000000,60
2016-01-19T11:00:00,-75.0560,-35.7730,0.122,-1.2,989.0,0.7,15.400000,48.000000,120
2016-01-19T12:00:00,-75.0422,-35.7532,NaN,-0.8,988.9,0.3,15.400000,48.000000,0
