Calc_time (UTC),Bat_vol (V),Latitude (deg),Longitude (deg),Hm0 (m),Pdirnaut (deg),Tm01 (s),Hmax_up (m),Crest (m),Meandir (deg),Spread (deg),Peakper (s),Tmm10 (s),Tm02 (s),drift,dir,dist_from_start
2022.07.20 02:59:20,3.55,-58.5705223,-0.4526708,0.305,340,9.8,0.404,0.192,323,34,10.6,10.6,9.5,0.0,0,0
2022.07.20 03:21:11,3.55,-58.5654716,-0.4472513,0.297,331,9.4,0.424,0.228,332,33,9.6,10.0,9.2,0.7,29,1
2022.07.20 03:43:02,3.55,-58.5613632,-0.442993,0.304,316,9.6,0.412,0.213,321,33,9.6,10.1,9.4,0.6,28,1
2022.07.20 04:04:53,3.55,-58.5573006,-0.438654,0.253,317,10.1,0.326,0.191,312,41,9.6,10.9,9.8,0.6,29,2
2022.07.20 04:26:43,3.54,-58.5525742,-0.433478,0.261,324,9.8,0.386,0.207,328,38,8.7,10.5,9.5,0.7,30,2
2022.07.20 04:48:34,3.55,-58.5488815,-0.4294928,0.242,327,9.9,0.413,0.217,322,35,8.7,10.8,9.5,0.5,29,3
2022.07.20 05:10:25,3.55,-58.5452461,-0.4258925,0.302,338,9.9,0.461,0.243,339,34,9.6,10.5,9.6,0.5,27,3
2022.07.20 05:32:15,3.55,-58.5405121,-0.4215828,0.317,314,9.6,0.466,0.236,317,31,9.6,10.2,9.4,0.6,25,4
2022.07.20 05:54:06,3.54,-58.5366859,-0.4189087,0.29,310,9.6,0.405,0.223,306,31,9.6,10.2,9.4,0.5,20,4
2022.07.20 06:15:57,3.55,-58.532383,-0.4159553,0.303,344,9.9,0.481,0.239,337,39,8.7,10.7,9.6,0.5,20,5
2022.07.20 06:37:48,3.55,-58.5288696,-0.4138094,0.313,339,9.9,0.503,0.244,345,33,9.6,10.5,9.7,0.4,18,5
2022.07.20 06:59:38,3.55,-58.5250244,-0.4116055,0.286,312,9.9,0.487,0.263,313,33,10.6,10.6,9.7,0.5,17,6
2022.07.20 07:21:29,3.55,-58.5204239,-0.4083329,0.269,343,10.4,0.36,0.207,340,37,9.6,11.4,9.9,0.6,20,6
2022.07.20 07:43:20,3.55,-58.5166321,-0.40613,0.309,337,9.8,0.476,0.247,339,37,9.6,10.8,9.5,0.5,17,7
2022.07.20 08:05:11,3.55,-58.5127296,-0.4036251,0.314,311,9.6,0.432,0.235,306,33,9.6,10.3,9.3,0.5,19,7
2022.07.20 08:27:01,3.55,-58.5080185,-0.3999979,0.308,304,9.9,0.473,0.226,304,32,9.6,10.8,9.5,0.6,22,8
2022.07.20 08:48:52,3.55,-58.5042191,-0.3972613,0.289,305,10.0,0.474,0.293,308,37,8.7,11.3,9.5,0.5,21,8
2022.07.20 09:10:43,3.55,-58.5004425,-0.3944499,0.316,305,9.4,0.465,0.282,307,32,8.7,10.2,9.1,0.5,21,8
2022.07.20 09:32:33,3.55,-58.4956932,-0.3917806,0.355,308,9.8,0.456,0.223,303,28,8.7,10.7,9.5,0.6,16,9
2022.07.20 09:54:24,3.55,-58.4919472,-0.3895648,0.306,303,9.8,0.583,0.297,305,32,9.6,10.6,9.6,0.5,17,9
2022.07.20 10:16:15,3.55,-58.4867516,-0.3874015,0.308,315,10.0,0.53,0.284,304,35,10.6,11.4,9.6,0.6,12,10
2022.07.20 10:38:06,3.54,-58.4826889,-0.3860243,0.401,311,10.2,0.599,0.258,304,28,9.6,11.3,9.8,0.5,10,11
2022.07.20 10:59:56,3.55,-58.47892,-0.3844636,0.357,274,11.4,0.488,0.26,298,33,18.2,13.0,10.8,0.5,12,11
2022.07.20 11:21:47,3.55,-58.4741364,-0.3819553,0.353,326,10.4,0.521,0.277,320,36,8.7,11.6,9.9,0.6,15,11
2022.07.20 11:43:38,3.55,-58.4700165,-0.3804849,0.389,320,10.1,0.56,0.293,312,29,9.6,11.3,9.7,0.5,11,12
2022.07.20 12:05:28,3.55,-58.4659729,-0.3790987,0.365,326,10.3,0.53,0.259,314,35,8.7,11.7,9.8,0.5,10,12
2022.07.20 12:27:19,3.55,-58.460743,-0.3779198,0.393,266,10.9,0.554,0.293,298,36,18.2,12.3,10.3,0.6,7,13
2022.07.20 12:49:10,3.55,-58.4564857,-0.3779979,0.398,268,10.6,0.552,0.355,294,33,15.4,11.9,10.0,0.5,359,13
2022.07.20 13:11:01,3.55,-58.451416,-0.3775802,0.405,273,10.5,0.707,0.4,294,34,18.2,12.0,9.9,0.6,2,14
2022.07.20 13:32:51,3.55,-58.4470406,-0.3776249,0.495,273,11.4,0.677,0.422,292,31,18.2,13.2,10.7,0.5,360,14
2022.07.20 13:54:42,3.55,-58.4427986,-0.3783482,0.466,309,11.0,0.759,0.372,290,33,8.7,12.4,10.4,0.5,355,15
2022.07.20 14:16:33,3.55,-58.4370956,-0.3794311,0.429,271,11.1,0.666,0.423,291,32,18.2,12.6,10.4,0.7,354,15
2022.07.20 14:38:23,3.55,-58.4327431,-0.3799448,0.54,313,10.8,0.741,0.397,329,29,15.4,12.2,10.3,0.5,356,16
2022.07.20 15:00:14,3.55,-58.4282494,-0.3810935,0.451,309,11.5,0.749,0.352,321,30,18.2,13.2,10.7,0.5,352,16
2022.07.20 15:22:05,3.55,-58.4225159,-0.3834618,0.549,300,12.9,0.72,0.435,316,26,18.2,14.5,12.0,0.7,348,17
2022.07.20 15:43:56,3.55,-58.4185219,-0.385377,0.592,310,13.2,0.735,0.369,315,26,15.4,14.6,12.4,0.5,346,17
2022.07.20 16:05:46,3.54,-58.4135475,-0.3884641,0.435,305,11.6,0.673,0.342,326,33,18.2,13.4,10.8,0.6,342,18
2022.07.20 16:27:37,3.54,-58.4097023,-0.3909658,0.593,302,13.3,0.745,0.402,314,27,18.2,14.7,12.5,0.5,341,18
2022.07.20 16:49:28,3.55,-58.4062843,-0.393275,0.56,316,12.8,0.976,0.447,325,38,15.4,14.4,12.0,0.4,340,19
2022.07.20 17:11:19,3.55,-58.4023552,-0.3969913,0.528,310,13.0,0.99,0.51,320,29,18.2,14.7,12.1,0.5,334,19
2022.07.20 17:33:09,3.55,-58.3994827,-0.4002146,0.693,300,14.2,1.117,0.582,310,27,18.2,15.6,13.3,0.4,330,19
2022.07.20 17:55:00,3.55,-58.3973427,-0.403094,0.595,306,13.9,0.729,0.4,313,27,18.2,15.4,13.0,0.3,325,19
2022.07.20 18:16:51,3.55,-58.3949318,-0.4053843,0.71,300,14.3,0.988,0.49,308,24,18.2,15.6,13.4,0.3,333,20
2022.07.20 18:38:41,3.55,-58.3928261,-0.4078015,0.674,301,13.3,0.841,0.472,312,23,15.4,14.5,12.6,0.3,329,20
2022.07.20 19:00:32,3.55,-58.3909187,-0.4100346,0.851,286,15.1,1.03,0.556,289,22,18.2,16.1,14.3,0.3,328,20
2022.07.20 19:22:23,3.55,-58.3887825,-0.4128839,0.898,268,15.3,1.246,0.649,272,21,18.2,16.3,14.6,0.3,325,20
2022.07.20 19:44:14,3.55,-58.3869171,-0.4140945,0.751,279,14.4,1.041,0.559,288,26,18.2,15.6,13.7,0.2,341,21
2022.07.20 20:06:04,3.54,-58.3847504,-0.4152973,0.888,294,14.3,1.192,0.684,299,22,15.4,15.3,13.6,0.3,344,21
2022.07.20 20:27:55,3.55,-58.383297,-0.4163381,1.03,269,14.7,1.267,0.767,272,18,15.4,15.3,14.3,0.2,339,21
2022.07.20 20:49:46,3.55,-58.3816261,-0.4171515,1.014,267,14.8,1.375,0.822,271,21,15.4,15.5,14.3,0.2,346,21
2022.07.20 21:11:36,3.55,-58.3796539,-0.4183916,1.081,269,15.3,1.393,0.753,275,19,18.2,16.0,14.8,0.2,342,21
2022.07.20 21:33:27,3.55,-58.3781815,-0.4194986,0.938,272,14.1,1.408,0.682,277,24,15.4,14.7,13.6,0.2,338,21
2022.07.20 21:55:18,3.55,-58.3765297,-0.4201802,1.009,273,14.9,1.838,1.067,275,20,15.4,15.6,14.4,0.2,348,22
2022.07.20 22:17:09,3.54,-58.3739204,-0.421417,0.919,274,14.4,1.577,0.842,279,22,18.2,15.5,13.7,0.3,346,22
2022.07.20 22:38:59,3.55,-58.3719292,-0.4223576,1.181,279,15.1,1.82,0.863,280,20,15.4,15.7,14.7,0.2,346,22
2022.07.20 23:00:50,3.55,-58.3695412,-0.4228391,1.273,273,14.8,1.903,0.895,275,17,15.4,15.2,14.4,0.3,354,22
2022.07.20 23:22:41,3.55,-58.3675194,-0.423184,1.937,268,15.3,2.335,1.24,271,14,15.4,15.7,15.1,0.2,355,23
2022.07.20 23:44:31,3.55,-58.3653679,-0.423226,1.414,279,15.1,1.926,0.999,285,19,15.4,15.6,14.7,0.3,359,23
2022.07.21 00:06:22,3.54,-58.3620796,-0.4236002,1.023,308,14.2,1.682,0.851,310,19,15.4,14.9,13.8,0.4,357,23
2022.07.21 00:28:13,3.54,-58.359211,-0.4243874,1.643,293,15.0,3.008,1.552,295,14,15.4,15.4,14.7,0.3,352,24
2022.07.21 00:50:04,3.55,-58.3565636,-0.4245335,1.498,295,14.5,1.842,0.865,299,16,15.4,14.9,14.2,0.3,358,24
2022.07.21 01:11:54,3.55,-58.3528442,-0.4257502,1.173,294,14.1,2.78,1.252,299,21,15.4,14.8,13.7,0.5,350,24
2022.07.21 01:33:45,3.55,-58.3496513,-0.4272268,1.676,305,15.1,2.574,1.268,305,14,15.4,15.4,14.8,0.4,346,25
2022.07.21 01:55:36,3.52,-58.3467255,-0.4287019,1.761,301,15.4,2.439,1.234,306,16,15.4,15.9,15.1,0.4,345,25
2022.07.21 02:17:27,3.55,-58.3427505,-0.4317138,1.674,305,14.9,2.548,1.257,306,16,15.4,15.2,14.7,0.5,338,25
2022.07.21 02:39:17,3.55,-58.3398285,-0.4342643,1.654,298,14.9,1.995,1.122,301,16,15.4,15.4,14.6,0.4,335,26
2022.07.21 03:01:08,3.55,-58.3367119,-0.4373546,1.82,289,14.8,2.391,1.073,290,14,15.4,15.1,14.6,0.4,332,26
2022.07.21 03:22:59,3.55,-58.334137,-0.4400289,1.687,302,14.6,2.376,1.247,306,19,15.4,15.1,14.4,0.4,331,26
2022.07.21 03:44:49,3.55,-58.3317947,-0.4423164,1.769,309,14.6,2.622,1.244,310,16,15.4,15.0,14.3,0.3,333,27
2022.07.21 04:06:40,3.55,-58.3287811,-0.44562,1.896,306,14.7,2.431,1.291,310,15,15.4,15.1,14.5,0.4,330,27
2022.07.21 04:28:31,3.55,-58.3261261,-0.4495016,1.722,307,14.4,1.907,0.919,310,16,15.4,14.7,14.2,0.4,322,27
2022.07.21 04:50:22,3.55,-58.3235397,-0.4546938,1.731,306,14.7,2.346,1.269,307,17,15.4,15.0,14.4,0.5,313,27
2022.07.21 05:12:12,3.55,-58.3204613,-0.4618081,2.177,308,14.8,2.647,1.388,310,12,15.4,15.0,14.6,0.6,309,28
2022.07.21 05:34:03,3.55,-58.3183098,-0.4689506,1.816,306,14.5,2.311,1.138,308,15,15.4,14.9,14.3,0.5,300,28
2022.07.21 05:55:54,3.55,-58.3161545,-0.4778605,1.39,300,13.9,2.531,1.286,304,19,15.4,14.3,13.7,0.6,295,28
2022.07.21 06:17:44,3.55,-58.3149567,-0.4843365,1.33,300,13.9,2.492,1.222,304,20,15.4,14.4,13.7,0.4,289,28
2022.07.21 06:39:35,3.55,-58.3144913,-0.4906804,1.67,301,14.4,2.913,1.541,302,19,15.4,14.7,14.1,0.4,278,29
2022.07.21 07:01:26,3.55,-58.3141174,-0.4989766,2.123,309,14.4,2.62,1.29,311,15,15.4,14.7,14.2,0.5,275,29
2022.07.21 07:23:17,3.54,-58.3144264,-0.5051645,2.005,310,14.2,2.669,1.503,312,16,15.4,14.5,14.0,0.4,265,29
2022.07.21 07:45:07,3.55,-58.3148918,-0.5122482,1.324,307,13.3,2.543,1.33,311,21,13.4,13.8,13.0,0.5,263,29
2022.07.21 08:06:58,3.55,-58.3155327,-0.520621,1.917,307,14.1,3.171,1.645,312,19,15.4,14.5,13.9,0.5,262,29
2022.07.21 08:28:49,3.55,-58.316391,-0.5260036,1.48,265,13.7,2.223,1.187,267,19,15.4,14.2,13.4,0.4,253,29
2022.07.21 08:50:39,3.55,-58.3172913,-0.5310974,1.717,271,13.5,2.739,1.458,272,18,13.4,13.8,13.3,0.3,251,29
2022.07.21 09:12:30,3.54,-58.3183861,-0.5377767,1.633,266,13.9,2.318,1.212,270,19,15.4,14.3,13.6,0.4,253,28
2022.07.21 09:34:21,3.55,-58.3191986,-0.5436802,2.008,275,13.7,2.58,1.223,274,15,13.4,14.0,13.6,0.4,255,28
2022.07.21 09:56:12,3.55,-58.3202095,-0.5508681,1.802,273,13.6,2.36,1.221,278,19,15.4,14.0,13.4,0.5,255,28
2022.07.21 10:18:02,3.54,-58.321434,-0.5553881,1.474,256,13.6,2.114,1.131,274,24,15.4,14.2,13.3,0.3,243,28
2022.07.21 10:39:53,3.55,-58.3230476,-0.5590093,1.537,274,13.4,2.595,1.223,281,23,15.4,13.8,13.1,0.3,230,28
2022.07.21 11:01:44,3.54,-58.3257103,-0.5629131,1.713,277,13.4,2.528,1.403,282,21,15.4,13.8,13.2,0.4,218,28
2022.07.21 11:23:35,3.55,-58.3279114,-0.5657014,1.483,269,13.1,2.363,1.134,278,25,15.4,13.6,12.8,0.3,214,28
2022.07.21 11:45:25,3.55,-58.3299332,-0.5687125,1.687,278,13.9,1.919,1.069,283,21,15.4,14.3,13.6,0.3,218,28
2022.07.21 12:07:16,3.55,-58.3324242,-0.5730101,1.639,296,13.6,2.472,1.411,305,23,15.4,14.0,13.4,0.4,222,27
2022.07.21 12:29:07,3.55,-58.3347969,-0.5758903,1.95,296,13.9,3.278,1.576,304,20,15.4,14.3,13.7,0.3,213,27
2022.07.21 12:50:57,3.54,-58.337944,-0.5788522,1.737,279,13.6,2.023,1.128,291,25,15.4,14.0,13.4,0.4,206,27
2022.07.21 13:12:48,3.54,-58.3404846,-0.5800406,1.602,271,13.5,2.692,1.339,279,24,15.4,13.9,13.2,0.3,194,27
2022.07.21 13:34:39,3.55,-58.3430328,-0.5811927,1.723,320,12.7,2.703,1.279,306,22,11.8,13.0,12.6,0.3,193,26
2022.07.21 13:56:30,3.55,-58.3458862,-0.5826668,1.659,272,13.1,2.647,1.249,277,25,13.4,13.5,12.9,0.4,195,26
2022.07.21 14:18:20,3.55,-58.3479729,-0.5838547,1.927,274,13.3,2.264,1.146,292,24,15.4,13.6,13.1,0.3,197,26
2022.07.21 14:40:11,3.55,-58.3499069,-0.5842862,1.891,280,13.2,3.254,1.478,296,28,15.4,13.6,13.0,0.2,187,26
2022.07.21 15:02:02,3.55,-58.3522758,-0.5850554,1.645,314,13.8,2.243,1.239,321,25,15.4,14.2,13.6,0.3,190,25
2022.07.21 15:23:52,3.55,-58.3539314,-0.5857533,1.615,300,12.7,2.916,1.57,297,23,13.4,13.0,12.5,0.2,192,25
2022.07.21 15:45:43,3.55,-58.3559875,-0.58727,1.702,282,13.1,2.49,1.463,295,24,15.4,13.5,12.8,0.3,201,25
2022.07.21 16:07:34,3.55,-58.3577042,-0.5884832,1.784,281,13.0,2.425,1.265,289,26,13.4,13.4,12.8,0.2,200,25
2022.07.21 16:29:25,3.54,-58.3593292,-0.5891956,1.926,295,13.5,3.18,1.637,309,24,15.4,13.9,13.3,0.2,193,25
2022.07.21 16:51:15,3.55,-58.3614578,-0.5890362,1.801,329,12.6,2.583,1.34,315,26,11.8,13.0,12.4,0.3,178,25
2022.07.21 17:13:06,3.55,-58.3630333,-0.5888384,1.682,305,12.8,2.862,1.428,290,25,11.8,13.1,12.6,0.2,176,24
2022.07.21 17:34:57,3.55,-58.3642578,-0.5890878,1.881,284,12.4,2.948,1.577,294,27,13.4,12.9,12.2,0.1,186,24
2022.07.21 17:56:47,3.55,-58.3657341,-0.5890943,1.785,296,12.5,2.587,1.247,290,26,11.8,12.8,12.3,0.2,180,24
2022.07.21 18:18:38,3.54,-58.3670006,-0.5900939,2.032,291,12.7,2.936,1.751,308,27,15.4,13.1,12.5,0.2,203,24
2022.07.21 18:40:29,3.55,-58.3684807,-0.5916469,2.025,307,12.6,2.959,1.44,322,22,15.4,13.0,12.4,0.2,209,24
2022.07.21 19:02:20,3.55,-58.3703041,-0.5938274,1.707,342,12.0,2.467,1.27,324,30,11.8,12.4,11.8,0.3,212,24
2022.07.21 19:24:10,3.55,-58.3721542,-0.5964804,1.784,292,12.5,2.63,1.474,298,26,13.4,12.8,12.3,0.3,217,24
2022.07.21 19:46:01,3.55,-58.3746223,-0.5991272,2.123,293,12.4,2.885,1.417,307,25,15.4,12.8,12.2,0.3,209,23
2022.07.21 20:07:52,3.54,-58.3768387,-0.6011692,2.127,303,12.2,3.565,1.776,297,26,11.8,12.5,12.0,0.3,206,23
2022.07.21 20:29:43,3.55,-58.3794746,-0.6032789,1.736,311,12.0,2.619,1.294,299,28,11.8,12.4,11.9,0.3,203,23
2022.07.21 20:51:33,3.55,-58.3830414,-0.6063288,1.975,313,12.1,3.127,1.769,300,26,11.8,12.5,12.0,0.5,204,23
2022.07.21 21:13:24,3.55,-58.3860283,-0.6083878,2.077,318,11.9,2.694,1.458,311,24,10.6,12.3,11.7,0.4,200,22
2022.07.21 21:35:15,3.55,-58.3888512,-0.6101031,2.028,334,11.9,2.991,1.501,321,24,10.6,12.4,11.7,0.4,198,22
2022.07.21 21:57:05,3.55,-58.3926086,-0.6117884,2.21,342,12.3,3.314,1.802,329,24,11.8,12.6,12.1,0.5,193,22
2022.07.21 22:18:56,3.55,-58.3961143,-0.6132379,2.254,289,12.6,3.135,1.729,298,26,15.4,13.1,12.4,0.4,192,22
2022.07.21 22:40:47,3.55,-58.4009666,-0.6145991,1.74,325,12.2,2.985,1.458,336,30,13.4,12.6,12.0,0.6,188,21
2022.07.21 23:02:38,3.54,-58.4048843,-0.6151315,1.722,339,11.5,2.971,1.481,330,30,10.6,11.9,11.3,0.5,184,21
2022.07.21 23:24:28,3.55,-58.4088211,-0.6144914,2.35,305,12.3,3.779,1.978,322,24,15.4,12.8,12.1,0.5,175,20
2022.07.21 23:46:19,3.55,-58.4140854,-0.6134032,1.787,344,11.9,2.497,1.336,331,28,11.8,12.3,11.6,0.6,174,20
2022.07.22 00:08:10,3.55,-58.4182701,-0.6119853,1.849,339,12.1,2.666,1.312,328,28,11.8,12.5,11.9,0.5,170,19
2022.07.22 00:30:00,3.55,-58.4224701,-0.610667,1.958,299,12.2,3.294,1.854,312,28,15.4,12.8,11.9,0.5,171,19
2022.07.22 00:51:51,3.55,-58.4274292,-0.6082654,2.058,323,11.4,3.553,1.883,319,30,10.6,11.8,11.2,0.6,166,18
2022.07.22 01:13:42,3.55,-58.4314232,-0.605496,1.846,301,12.3,2.691,1.366,308,27,15.4,12.9,12.0,0.5,160,18
2022.07.22 01:35:33,3.54,-58.4353714,-0.6016791,1.929,304,11.8,3.457,1.848,323,28,15.4,12.3,11.5,0.5,153,17
2022.07.22 01:57:23,3.55,-58.4393463,-0.5959129,2.17,295,12.1,2.415,1.392,306,25,13.4,12.6,11.8,0.6,143,17
2022.07.22 02:19:14,3.55,-58.4423103,-0.5911344,1.921,311,11.9,3.11,1.734,319,27,15.4,12.4,11.5,0.5,140,16
2022.07.22 02:41:05,3.55,-58.445816,-0.5846812,2.218,298,11.8,3.173,1.85,314,24,13.4,12.3,11.6,0.6,136,16
2022.07.22 03:02:55,3.55,-58.448616,-0.5795818,2.08,316,11.8,2.598,1.463,315,27,11.8,12.4,11.5,0.5,136,15
2022.07.22 03:24:46,3.55,-58.4512138,-0.5747294,1.748,303,11.6,2.418,1.193,315,29,15.4,12.4,11.1,0.4,136,15
2022.07.22 03:46:37,3.55,-58.4543343,-0.5685374,2.513,339,12.1,3.054,1.628,319,27,11.8,12.7,11.6,0.5,134,15
2022.07.22 04:08:28,3.55,-58.4563408,-0.5635444,2.042,306,11.2,3.221,1.718,326,26,15.4,12.0,10.8,0.4,127,14
2022.07.22 04:30:18,3.55,-58.4578056,-0.5587089,1.704,295,11.1,2.707,1.494,312,33,13.4,11.7,10.7,0.4,120,14
