Calc_time (UTC),Bat_vol (V),Latitude (deg),Longitude (deg),Hm0 (m),Pdirnaut (deg),Tm01 (s),Hmax_up (m),Crest (m),Meandir (deg),Spread (deg),Peakper (s),Tmm10 (s),Tm02 (s),drift,dir,dist_from_start
2022.07.22 04:52:09,3.55,-58.4592972,-0.5528152,2.24,324,11.2,3.016,1.692,310,27,10.6,11.8,10.9,0.4,116,14
2022.07.22 05:14:00,3.55,-58.4605904,-0.5480747,1.949,335,11.0,2.954,1.67,321,32,10.6,11.6,10.5,0.3,118,13
2022.07.22 05:35:51,3.55,-58.4621048,-0.5426076,1.876,320,10.7,2.875,1.597,316,29,11.8,11.3,10.4,0.4,118,13
2022.07.22 05:57:41,3.55,-58.4630089,-0.5384288,1.887,281,11.1,3.005,1.595,301,33,13.4,12.1,10.6,0.3,112,13
2022.07.22 06:19:32,3.55,-58.463768,-0.5348763,2.206,302,11.4,2.689,1.524,328,33,15.4,12.4,10.8,0.2,112,13
2022.07.22 06:41:23,3.55,-58.4649925,-0.5308061,2.295,304,11.6,2.999,1.541,313,24,13.4,12.3,11.1,0.3,120,13
2022.07.22 07:03:13,3.55,-58.4662895,-0.5269652,2.147,267,11.3,2.934,1.861,289,27,15.4,12.2,10.8,0.3,123,12
2022.07.22 07:25:04,3.55,-58.4674301,-0.5235208,1.949,290,10.4,4.036,1.725,306,30,13.4,11.3,9.9,0.3,122,12
2022.07.22 07:46:55,3.55,-58.4692421,-0.5197225,2.031,271,11.0,3.243,1.853,290,31,13.4,11.9,10.5,0.3,132,12
2022.07.22 08:08:46,3.55,-58.4710159,-0.5170352,2.418,300,11.9,3.18,2.516,312,33,15.4,13.0,11.3,0.3,142,12
2022.07.22 08:30:36,3.55,-58.4728584,-0.5147882,2.166,295,11.6,3.553,2.001,308,30,15.4,12.8,11.0,0.3,147,11
2022.07.22 08:52:27,3.55,-58.4753647,-0.5124529,1.954,304,10.8,2.844,1.336,309,37,13.4,12.4,10.0,0.3,154,11
2022.07.22 09:14:18,3.55,-58.4773903,-0.5108081,2.216,284,11.0,2.802,1.576,299,31,15.4,12.1,10.3,0.3,157,11
2022.07.22 09:36:08,3.55,-58.4801979,-0.5091217,2.283,273,10.9,3.512,1.649,294,30,15.4,11.9,10.3,0.4,163,11
2022.07.22 09:57:59,3.53,-58.4824753,-0.5083513,2.09,309,10.7,3.087,1.6,325,30,13.4,11.6,10.1,0.3,170,10
2022.07.22 10:19:50,3.48,-58.4851913,-0.5078341,2.172,297,10.8,4.514,2.222,318,35,13.4,11.8,10.3,0.3,174,10
2022.07.22 10:41:41,3.54,-58.4892731,-0.5075785,2.385,296,10.6,3.319,2.336,308,31,13.4,11.8,10.0,0.5,178,10
2022.07.22 11:03:31,3.55,-58.4930115,-0.5080142,2.249,296,10.3,3.158,1.833,315,32,15.4,11.5,9.6,0.5,183,9
2022.07.22 11:25:22,3.55,-58.4971313,-0.5079145,2.304,292,10.2,3.031,1.812,319,33,13.4,11.2,9.7,0.5,179,9
2022.07.22 11:47:13,3.55,-58.5030861,-0.5073915,2.333,291,9.4,3.897,1.868,301,32,11.8,10.5,8.9,0.7,177,8
2022.07.22 12:09:03,3.55,-58.5078545,-0.5069856,2.38,297,9.5,4.158,2.534,318,32,13.4,10.7,8.9,0.6,177,8
2022.07.22 12:30:54,3.55,-58.5142708,-0.5068699,2.278,306,9.6,3.305,1.948,326,42,15.4,11.4,8.8,0.8,179,7
2022.07.22 12:52:45,3.55,-58.5194054,-0.506611,2.525,319,9.4,3.389,2.263,318,40,11.8,11.0,8.7,0.6,178,6
2022.07.22 13:14:36,3.55,-58.5250435,-0.5065226,2.591,333,8.8,3.888,2.201,341,33,11.8,9.8,8.3,0.7,180,6
2022.07.22 13:36:26,3.55,-58.5325699,-0.5057975,2.814,294,8.5,3.986,2.073,339,34,13.4,9.4,8.1,0.9,177,5
2022.07.22 13:58:17,3.54,-58.5387192,-0.5040681,2.605,298,8.8,3.911,2.247,332,36,13.4,9.8,8.3,0.7,172,5
2022.07.22 14:20:08,3.54,-58.5449028,-0.5016992,3.097,287,8.3,4.993,3.429,329,34,13.4,9.4,7.9,0.8,169,4
2022.07.22 14:41:59,3.54,-58.5527306,-0.4981775,2.844,337,8.3,4.061,2.148,326,36,6.9,9.2,7.9,1.0,167,3
2022.07.22 15:03:49,3.55,-58.5591164,-0.4943609,3.135,355,8.4,5.078,2.548,333,36,6.9,9.3,8.0,0.8,163,3
2022.07.22 15:25:40,3.55,-58.566124,-0.4891762,3.547,338,8.0,5.132,2.824,331,30,7.4,8.8,7.7,0.9,159,2
2022.07.22 15:47:31,3.55,-58.5719604,-0.4832245,3.216,355,8.3,4.991,2.587,339,38,7.4,9.1,8.0,0.8,152,2
2022.07.22 16:09:21,3.55,-58.5771408,-0.4762397,3.41,351,8.1,6.042,3.625,337,32,8.0,8.8,7.9,0.8,145,2
2022.07.22 16:31:12,3.55,-58.5837708,-0.465237,4.174,341,8.3,6.359,3.4,332,29,8.0,8.9,8.1,1.1,139,2
2022.07.22 16:53:03,3.55,-58.5876732,-0.4557268,4.194,347,8.3,5.479,3.098,339,28,8.7,8.8,8.1,0.8,128,2
2022.07.22 17:14:54,3.55,-58.5912323,-0.4451697,3.676,346,8.1,5.91,3.018,341,31,8.7,8.7,7.8,0.8,123,2
2022.07.22 17:36:44,3.55,-58.5947189,-0.4322227,3.518,340,8.4,5.364,3.451,332,36,8.7,9.2,8.0,0.9,117,3
2022.07.22 17:58:35,3.55,-58.5972977,-0.4207157,3.595,337,8.4,5.461,3.031,321,35,8.7,9.1,8.0,0.8,113,4
2022.07.22 18:20:26,3.55,-58.5988655,-0.4084687,3.961,354,8.3,5.816,2.816,341,33,8.7,9.0,8.0,0.8,104,4
2022.07.22 18:42:16,3.55,-58.5995522,-0.3924473,4.003,346,8.6,5.425,3.167,334,33,8.7,9.1,8.3,1.0,95,5
2022.07.22 19:04:07,3.55,-58.5993423,-0.3808472,3.793,344,8.5,5.597,2.615,339,34,9.6,9.1,8.2,0.7,88,5
2022.07.22 19:25:58,3.55,-58.5990982,-0.3663985,3.956,345,8.6,6.171,3.333,328,35,8.0,9.3,8.3,0.9,88,6
2022.07.22 19:47:49,3.55,-58.5986061,-0.3556993,3.487,347,8.5,5.398,2.869,332,36,8.7,9.2,8.2,0.7,85,6
2022.07.22 20:09:39,3.55,-58.5977402,-0.3457977,3.91,336,8.9,5.366,2.837,333,32,9.6,9.4,8.7,0.6,80,7
2022.07.22 20:31:30,3.55,-58.5958786,-0.3334515,3.699,318,8.7,5.814,3.406,329,39,9.6,9.4,8.4,0.8,74,7
2022.07.22 20:53:21,3.55,-58.5942841,-0.3249972,4.023,335,9.0,5.422,3.201,328,31,8.7,9.4,8.8,0.6,70,8
2022.07.22 21:15:11,3.55,-58.5927429,-0.3172701,3.849,324,8.9,6.191,3.061,323,34,9.6,9.5,8.7,0.5,69,8
2022.07.22 21:37:02,3.55,-58.5909767,-0.3083276,3.718,337,8.7,5.643,3.162,329,33,8.0,9.2,8.5,0.6,69,9
2022.07.22 21:58:53,3.55,-58.5892792,-0.3020148,3.176,310,8.6,5.37,2.873,323,37,10.6,9.3,8.3,0.4,63,9
2022.07.22 22:20:44,3.55,-58.5872841,-0.2953988,3.334,349,8.7,4.922,2.564,325,40,8.7,9.4,8.4,0.5,60,9
2022.07.22 22:42:34,3.55,-58.585659,-0.291164,3.522,331,8.8,5.062,2.844,333,36,9.6,9.3,8.5,0.3,54,10
2022.07.22 23:04:25,3.55,-58.5844421,-0.2875957,3.792,327,9.0,5.273,2.677,315,36,8.7,9.6,8.7,0.3,57,10
