time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),submerged_boolean (none),accelometer_variance (),sampling_ratio (s)
2019-01-16T23:57:51,-65.7782,-60.5636,0.000,-40.0,1024.0,-4.6,0.0,0.0,10.0
2019-01-17T00:00:26,-65.7780,-60.5641,0.171,5.8,1024.0,-4.6,0.0,0.0,60.0
2019-01-17T01:00:26,-65.7760,-60.5741,0.142,0.8,992.6,25.5,0.0,4.0,60.0
2019-01-17T02:00:25,-65.7762,-60.5822,0.104,-1.3,992.7,25.5,0.0,4.0,60.0
2019-01-17T03:00:25,-65.7775,-60.5870,0.071,-0.4,992.7,25.5,0.0,3.0,60.0
2019-01-17T04:00:54,-65.7795,-60.5875,0.062,-0.9,992.8,0.2,0.0,3.0,60.0
2019-01-17T05:00:27,-65.7815,-60.5842,0.076,-1.6,992.6,-0.1,0.0,5.0,60.0
2019-01-17T06:00:26,-65.7828,-60.5779,0.090,-3.5,992.2,-0.5,0.0,3.0,60.0
2019-01-17T07:00:55,-65.7829,-60.5697,0.103,-4.5,992.0,-0.8,0.0,3.0,60.0
2019-01-17T08:00:26,-65.7816,-60.5614,0.115,-4.5,992.1,-0.5,0.0,3.0,60.0
2019-01-17T09:00:26,-65.7791,-60.5544,0.116,-2.1,992.2,0.0,0.0,4.0,60.0
2019-01-17T10:00:55,-65.7765,-60.5502,0.096,0.9,992.1,0.1,0.0,4.0,60.0
2019-01-17T11:00:26,-65.7741,-60.5498,0.074,2.9,992.1,0.0,0.0,4.0,60.0
2019-01-17T12:00:26,-65.7730,-60.5524,0.049,2.4,992.0,-0.2,0.0,4.0,60.0
2019-01-17T13:00:26,-65.7731,-60.5567,0.055,1.6,992.0,-0.1,0.0,3.0,60.0
2019-01-17T14:00:55,-65.7741,-60.5627,0.081,0.0,991.8,-0.3,0.0,3.0,60.0
2019-01-17T15:00:26,-65.7754,-60.5702,0.104,-0.3,991.8,-0.2,0.0,5.0,60.0
2019-01-17T16:00:26,-65.7766,-60.5781,0.107,-0.3,991.5,-0.5,0.0,3.0,60.0
2019-01-17T17:00:55,-65.7777,-60.5857,0.102,-0.7,991.4,-0.4,0.0,5.0,60.0
2019-01-17T18:00:26,-65.7779,-60.5937,0.103,-1.4,991.3,-0.5,0.0,5.0,60.0
2019-01-17T19:00:26,-65.7773,-60.6029,0.119,-1.6,991.1,-0.4,0.0,3.0,60.0
2019-01-17T20:00:55,-65.7766,-60.6120,0.116,-1.7,991.2,-0.2,0.0,3.0,60.0
2019-01-17T21:00:27,-65.7759,-60.6204,0.110,-2.0,991.4,0.1,0.0,4.0,60.0
2019-01-17T22:00:26,-65.7754,-60.6283,0.101,-2.2,991.4,0.3,0.0,3.0,60.0
2019-01-17T23:00:27,-65.7750,-60.6361,0.100,-3.0,991.8,0.6,0.0,6.0,60.0
2019-01-18T00:00:55,-65.7754,-60.6431,0.090,-3.5,991.8,0.4,0.0,4.0,60.0
2019-01-18T01:00:26,-65.7763,-60.6492,0.082,-3.8,991.9,0.5,0.0,3.0,60.0
2019-01-18T02:00:26,-65.7776,-60.6543,0.076,-4.0,991.9,0.1,0.0,5.0,60.0
2019-01-18T03:00:26,-65.7794,-60.6575,0.070,-4.2,992.0,0.2,0.0,4.0,60.0
2019-01-18T04:00:55,-65.7815,-60.6591,0.068,-4.4,991.8,-0.1,0.0,5.0,60.0
2019-01-18T05:00:26,-65.7835,-60.6598,0.062,-4.4,991.6,-0.3,0.0,3.0,60.0
2019-01-18T06:00:26,-65.7855,-60.6600,0.064,-4.5,991.6,-0.4,0.0,4.0,60.0
2019-01-18T07:00:55,-65.7875,-60.6609,0.061,-4.3,991.9,0.1,0.0,6.0,60.0
2019-01-18T08:00:26,-65.7891,-60.6621,0.052,-4.2,992.0,0.4,0.0,4.0,60.0
2019-01-18T09:00:26,-65.7905,-60.6637,0.049,-4.2,992.3,0.7,0.0,4.0,60.0
2019-01-18T10:00:55,-65.7923,-60.6645,0.057,-4.1,992.6,0.7,0.0,3.0,60.0
2019-01-18T11:00:27,-65.7945,-60.6642,0.069,-3.5,992.7,0.7,0.0,3.0,60.0
2019-01-18T12:00:26,-65.7971,-60.6635,0.080,-2.6,992.6,0.3,0.0,4.0,60.0
2019-01-18T13:00:26,-65.7998,-60.6631,0.086,-2.2,992.6,0.0,0.0,5.0,60.0
2019-01-18T14:00:54,-65.8026,-60.6631,0.086,-0.7,992.3,-0.4,0.0,3.0,60.0
2019-01-18T15:00:26,-65.8046,-60.6641,0.063,-0.1,992.0,-0.6,0.0,3.0,60.0
2019-01-18T16:00:26,-65.8058,-60.6671,0.053,-0.3,991.8,-0.8,0.0,4.0,60.0
2019-01-18T17:00:54,-65.8058,-60.6732,0.077,-0.7,991.6,-0.7,0.0,3.0,60.0
2019-01-18T18:00:26,-65.8052,-60.6816,0.108,-0.7,991.2,-0.8,0.0,3.0,60.0
2019-01-18T19:00:26,-65.8044,-60.6922,0.137,-0.8,990.8,-1.0,0.0,3.0,60.0
2019-01-18T20:00:55,-65.8036,-60.7039,0.150,-1.6,990.5,-1.1,0.0,5.0,60.0
2019-01-18T21:00:26,-65.8030,-60.7152,0.146,-1.9,990.0,-1.2,0.0,3.0,60.0
2019-01-18T22:00:26,-65.8028,-60.7254,0.130,-2.8,989.7,-1.1,0.0,4.0,60.0
2019-01-18T23:00:27,-65.8029,-60.7340,0.110,-3.0,989.1,-1.4,0.0,5.0,60.0
2019-01-19T00:00:54,-65.8035,-60.7412,0.093,-3.3,988.6,-1.4,0.0,5.0,60.0
2019-01-19T01:00:26,-65.8044,-60.7480,0.091,-3.6,988.2,-1.5,0.0,4.0,60.0
2019-01-19T02:00:26,-65.8053,-60.7539,0.081,-3.6,987.3,-1.8,0.0,5.0,60.0
2019-01-19T03:00:26,-65.8065,-60.7587,0.072,-4.0,986.8,-1.8,0.0,2.0,60.0
2019-01-19T04:00:54,-65.8079,-60.7629,0.067,-4.1,985.9,-2.3,0.0,4.0,60.0
2019-01-19T05:00:26,-65.8093,-60.7674,0.072,-4.0,984.8,-2.5,0.0,3.0,60.0
2019-01-19T06:00:26,-65.8106,-60.7725,0.078,-3.9,984.1,-2.7,0.0,4.0,60.0
2019-01-19T07:00:54,-65.8121,-60.7791,0.094,-3.9,983.2,-2.7,0.0,4.0,60.0
2019-01-19T08:00:26,-65.8136,-60.7861,0.102,-3.8,982.8,-2.0,0.0,4.0,60.0
2019-01-19T09:00:26,-65.8156,-60.7925,0.102,-3.8,982.5,-1.6,0.0,4.0,60.0
2019-01-19T10:00:54,-65.8180,-60.7983,0.102,-3.6,982.1,-1.1,0.0,2.0,60.0
2019-01-19T11:00:26,-65.8206,-60.8036,0.107,-3.4,981.3,-1.5,0.0,4.0,60.0
2019-01-19T12:00:26,-65.8234,-60.8090,0.110,-3.4,980.7,-1.8,0.0,5.0,60.0
2019-01-19T13:00:54,-65.8261,-60.8164,0.125,-2.5,980.1,-2.0,0.0,3.0,60.0
2019-01-19T14:00:26,-65.8289,-60.8259,0.150,-2.2,979.5,-1.8,0.0,4.0,60.0
2019-01-19T15:00:26,-65.8321,-60.8368,0.171,-2.0,978.9,-1.8,0.0,3.0,60.0
2019-01-19T16:00:54,-65.8354,-60.8499,0.193,-1.8,978.6,-1.5,0.0,3.0,60.0
2019-01-19T17:00:26,-65.8384,-60.8647,0.211,-1.4,978.1,-1.4,0.0,3.0,60.0
2019-01-19T18:00:54,-65.8408,-60.8816,0.225,-1.4,977.5,-1.4,0.0,4.0,60.0
2019-01-19T19:00:26,-65.8427,-60.8983,0.222,-1.4,977.0,-1.6,0.0,4.0,60.0
2019-01-19T20:00:26,-65.8440,-60.9144,0.208,-0.7,976.8,-1.3,0.0,3.0,60.0
2019-01-19T21:00:26,-65.8446,-60.9290,0.187,-0.3,976.8,-0.7,0.0,4.0,60.0
2019-01-19T22:00:54,-65.8447,-60.9419,0.162,-0.7,976.5,-0.5,0.0,3.0,60.0
2019-01-19T23:00:26,-65.8440,-60.9523,0.134,-0.9,976.5,-0.3,0.0,3.0,60.0
2019-01-20T00:00:26,-65.8427,-60.9620,0.129,-1.0,976.4,-0.4,0.0,4.0,60.0
2019-01-20T01:00:26,-65.8411,-60.9733,0.152,-1.1,976.3,-0.2,0.0,4.0,60.0
2019-01-20T02:00:54,-65.8395,-60.9853,0.159,-1.1,976.1,-0.4,0.0,3.0,60.0
2019-01-20T03:00:26,-65.8373,-60.9947,0.139,-1.2,976.1,-0.3,0.0,4.0,60.0
2019-01-20T04:00:26,-65.8333,-61.0037,0.169,-1.4,976.0,-0.3,0.0,3.0,60.0
2019-01-20T05:00:54,-65.8279,-61.0138,0.208,-2.4,975.9,-0.2,0.0,4.0,60.0
2019-01-20T06:00:26,-65.8230,-61.0269,0.227,-2.2,975.9,-0.2,0.0,3.0,60.0
2019-01-20T07:00:25,-65.8191,-61.0416,0.222,-2.5,975.9,-0.1,0.0,3.0,60.0
2019-01-20T08:00:54,-65.8150,-61.0558,0.218,-2.4,976.2,0.3,0.0,2.0,60.0
2019-01-20T09:00:26,-65.8110,-61.0695,0.215,-2.5,976.5,0.6,0.0,3.0,60.0
2019-01-20T10:00:25,-65.8070,-61.0783,0.169,-2.4,976.9,1.0,0.0,3.0,60.0
2019-01-20T11:00:54,-65.8029,-61.0863,0.160,-1.9,977.4,1.2,0.0,3.0,60.0
2019-01-20T12:00:26,-65.8000,-61.0945,0.140,-1.5,977.5,1.0,0.0,3.0,60.0
2019-01-20T13:00:25,-65.7988,-61.1012,0.092,-0.7,977.7,0.8,0.0,6.0,60.0
2019-01-20T14:00:54,-65.7981,-61.1075,0.083,0.0,977.9,0.5,0.0,3.0,60.0
2019-01-20T15:00:26,-65.7968,-61.1110,0.060,1.6,978.1,0.6,0.0,4.0,60.0
2019-01-20T16:00:25,-65.7950,-61.1127,0.059,4.2,978.3,0.6,0.0,3.0,60.0
2019-01-20T17:00:54,-65.7932,-61.1140,0.059,7.6,978.3,0.4,0.0,4.0,60.0
2019-01-20T18:00:26,-65.7916,-61.1152,0.052,7.3,978.3,0.2,0.0,3.0,60.0
2019-01-20T19:00:26,-65.7899,-61.1163,0.055,4.5,978.5,0.2,0.0,3.0,60.0
2019-01-20T20:00:54,-65.7875,-61.1189,0.080,2.5,978.6,0.3,0.0,3.0,60.0
2019-01-20T21:00:26,-65.7848,-61.1200,0.086,1.1,978.8,0.5,0.0,5.0,60.0
2019-01-20T22:00:27,-65.7823,-61.1209,0.076,0.1,979.0,0.5,0.0,2.0,60.0
2019-01-20T23:00:26,-65.7803,-61.1211,0.064,-0.9,978.8,0.2,0.0,4.0,60.0
2019-01-21T00:00:54,-65.7785,-61.1209,0.054,-1.8,978.9,0.1,0.0,5.0,60.0
2019-01-21T01:00:26,-65.7776,-61.1203,0.030,-2.4,978.7,-0.3,0.0,4.0,60.0
2019-01-21T02:00:26,-65.7778,-61.1198,0.009,-2.4,978.7,-0.1,0.0,4.0,60.0
2019-01-21T03:00:54,-65.7789,-61.1186,0.037,-2.5,978.8,-0.1,0.0,5.0,60.0
2019-01-21T04:00:26,-65.7802,-61.1165,0.049,-3.3,978.6,-0.1,0.0,4.0,60.0
2019-01-21T05:00:26,-65.7813,-61.1142,0.045,-4.2,978.6,-0.1,0.0,4.0,60.0
2019-01-21T06:00:54,-65.7823,-61.1124,0.038,-4.8,978.6,-0.2,0.0,5.0,60.0
2019-01-21T07:00:26,-65.7831,-61.1105,0.035,-6.2,978.4,-0.2,0.0,4.0,60.0
2019-01-21T08:00:25,-65.7835,-61.1076,0.039,-6.2,978.0,-0.6,0.0,4.0,60.0
2019-01-21T09:00:54,-65.7838,-61.1035,0.053,-4.0,978.3,-0.3,0.0,4.0,60.0
2019-01-21T10:00:26,-65.7838,-61.0995,0.051,-1.7,978.6,0.2,0.0,4.0,60.0
2019-01-21T11:00:25,-65.7836,-61.0957,0.049,-0.7,978.8,0.8,0.0,4.0,60.0
2019-01-21T12:00:54,-65.7834,-61.0924,0.042,0.1,978.9,0.6,0.0,5.0,60.0
2019-01-21T13:00:26,-65.7838,-61.0896,0.038,0.8,979.3,0.7,0.0,7.0,60.0
2019-01-21T14:00:25,-65.7848,-61.0864,0.052,1.2,979.6,0.8,0.0,5.0,60.0
2019-01-21T15:00:25,-65.7862,-61.0835,0.056,2.9,979.9,1.0,0.0,4.0,60.0
2019-01-21T16:00:54,-65.7881,-61.0815,0.065,4.7,980.0,0.7,0.0,4.0,60.0
2019-01-21T17:00:26,-65.7903,-61.0804,0.071,4.1,980.3,0.7,0.0,4.0,60.0
2019-01-21T18:00:25,-65.7922,-61.0805,0.056,4.0,980.4,0.5,0.0,4.0,60.0
2019-01-21T19:00:54,-65.7933,-61.0815,0.038,4.1,980.6,0.6,0.0,5.0,60.0
2019-01-21T20:00:26,-65.7938,-61.0826,0.021,2.6,981.2,0.9,0.0,3.0,60.0
2019-01-21T21:00:26,-65.7935,-61.0836,0.016,2.8,981.4,1.0,0.0,5.0,60.0
2019-01-21T22:00:54,-65.7926,-61.0848,0.033,1.6,981.8,1.2,0.0,4.0,60.0
2019-01-21T23:00:26,-65.7909,-61.0859,0.055,0.6,982.2,1.0,0.0,4.0,60.0
2019-01-22T00:00:26,-65.7888,-61.0869,0.067,0.0,982.7,1.3,0.0,3.0,60.0
2019-01-22T01:00:26,-65.7867,-61.0873,0.065,0.0,983.1,1.3,0.0,2.0,60.0
2019-01-22T02:00:54,-65.7849,-61.0876,0.055,-0.5,983.5,1.3,0.0,5.0,60.0
2019-01-22T03:00:27,-65.7833,-61.0881,0.049,-1.7,984.0,1.3,0.0,3.0,60.0
2019-01-22T04:00:26,-65.7822,-61.0890,0.036,-1.9,984.3,1.2,0.0,3.0,60.0
2019-01-22T05:00:54,-65.7814,-61.0900,0.026,-2.4,984.5,1.0,0.0,3.0,60.0
2019-01-22T06:00:26,-65.7807,-61.0915,0.030,-2.5,984.8,0.8,0.0,3.0,60.0
2019-01-22T07:00:26,-65.7802,-61.0926,0.021,-2.2,985.1,0.8,0.0,3.0,60.0
2019-01-22T08:00:54,-65.7800,-61.0930,0.007,-2.3,985.2,0.7,0.0,5.0,60.0
2019-01-22T09:00:26,-65.7800,-61.0922,0.011,-2.2,985.4,0.6,0.0,4.0,60.0
2019-01-22T10:00:26,-65.7802,-61.0890,0.040,-1.6,985.7,0.6,0.0,7.0,60.0
2019-01-22T11:00:27,-65.7802,-61.0843,0.060,-0.7,986.0,0.8,0.0,4.0,60.0
2019-01-22T12:00:54,-65.7798,-61.0785,0.075,0.7,986.2,0.8,0.0,4.0,60.0
2019-01-22T13:00:26,-65.7794,-61.0732,0.068,0.2,986.7,1.0,0.0,3.0,60.0
2019-01-22T14:00:26,-65.7793,-61.0692,0.052,0.1,986.7,0.7,0.0,3.0,60.0
2019-01-22T15:00:26,-65.7794,-61.0668,0.030,1.4,987.0,0.8,0.0,3.0,60.0
2019-01-22T16:00:54,-65.7802,-61.0659,0.025,2.4,987.4,0.7,0.0,5.0,60.0
2019-01-22T17:00:26,-65.7813,-61.0658,0.035,2.8,987.8,1.1,0.0,3.0,60.0
2019-01-22T18:00:26,-65.7825,-61.0666,0.039,2.0,988.1,1.1,0.0,3.0,60.0
2019-01-22T19:00:54,-65.7836,-61.0685,0.041,2.5,988.4,1.0,0.0,4.0,60.0
2019-01-22T20:00:26,-65.7839,-61.0704,0.027,2.5,988.7,0.9,0.0,2.0,60.0
2019-01-22T21:00:26,-65.7835,-61.0724,0.029,2.1,989.0,0.9,0.0,4.0,60.0
2019-01-22T22:00:54,-65.7825,-61.0747,0.043,0.6,989.3,0.9,0.0,4.0,60.0
2019-01-22T23:00:26,-65.7808,-61.0767,0.058,-0.6,989.6,0.9,0.0,4.0,60.0
2019-01-23T00:00:26,-65.7786,-61.0785,0.074,-1.5,989.9,0.9,0.0,4.0,60.0
2019-01-23T01:00:26,-65.7760,-61.0793,0.081,-0.8,990.2,0.9,0.0,4.0,60.0
2019-01-23T02:00:54,-65.7734,-61.0790,0.079,-1.1,990.5,0.9,0.0,7.0,60.0
2019-01-23T03:00:26,-65.7709,-61.0783,0.078,-1.7,990.8,0.9,0.0,5.0,60.0
2019-01-23T04:00:26,-65.7685,-61.0783,0.074,-2.0,990.9,0.7,0.0,5.0,60.0
2019-01-23T05:00:54,-65.7666,-61.0798,0.061,-1.9,990.9,0.4,0.0,6.0,60.0
2019-01-23T06:00:26,-65.7655,-61.0821,0.044,-1.9,990.9,0.1,0.0,4.0,60.0
2019-01-23T07:00:26,-65.7648,-61.0842,0.036,-2.1,991.1,0.2,0.0,5.0,60.0
2019-01-23T08:00:54,-65.7643,-61.0856,0.023,-2.2,991.0,0.1,0.0,6.0,60.0
2019-01-23T09:00:26,-65.7640,-61.0851,0.012,-1.9,991.3,0.4,0.0,6.0,60.0
2019-01-23T10:00:26,-65.7637,-61.0822,0.037,-1.3,991.3,0.2,0.0,4.0,60.0
2019-01-23T11:00:27,-65.7632,-61.0773,0.064,-0.8,991.4,0.4,0.0,4.0,60.0
2019-01-23T12:00:54,-65.7624,-61.0708,0.086,-0.1,991.4,0.1,0.0,5.0,60.0
2019-01-23T13:00:26,-65.7614,-61.0635,0.099,0.5,991.4,0.1,0.0,5.0,60.0
2019-01-23T14:00:26,-65.7608,-61.0558,0.099,0.8,991.4,0.0,0.0,5.0,60.0
2019-01-23T15:00:26,-65.7608,-61.0484,0.095,2.6,991.3,-0.1,0.0,4.0,60.0
2019-01-23T16:00:54,-65.7606,-61.0421,0.080,2.8,991.3,-0.1,0.0,4.0,60.0
2019-01-23T17:00:26,-65.7607,-61.0379,0.054,3.4,991.4,0.0,0.0,4.0,60.0
2019-01-23T18:00:26,-65.7611,-61.0364,0.022,3.4,991.2,-0.1,0.0,5.0,60.0
2019-01-23T19:00:27,-65.7618,-61.0365,0.023,3.3,990.9,-0.4,0.0,5.0,60.0
2019-01-23T20:00:54,-65.7626,-61.0378,0.029,2.5,990.5,-0.9,0.0,5.0,60.0
2019-01-23T21:00:26,-65.7633,-61.0396,0.030,2.1,990.3,-0.9,0.0,4.0,60.0
2019-01-23T22:00:28,-65.7635,-61.0406,0.014,1.1,989.9,-1.0,0.0,4.0,60.0
2019-01-23T23:00:26,-65.7632,-61.0399,0.012,1.0,989.6,-0.9,0.0,5.0,60.0
2019-01-24T00:00:55,-65.7622,-61.0376,0.044,0.2,989.4,-0.9,0.0,5.0,60.0
2019-01-24T01:00:26,-65.7606,-61.0352,0.057,-0.8,989.4,-0.5,0.0,3.0,60.0
2019-01-24T02:00:26,-65.7587,-61.0323,0.071,-1.4,989.3,-0.3,0.0,4.0,60.0
2019-01-24T03:00:54,-65.7568,-61.0296,0.067,-1.3,988.9,-0.5,0.0,4.0,60.0
2019-01-24T04:00:26,-65.7554,-61.0278,0.049,-1.6,988.5,-0.9,0.0,5.0,60.0
2019-01-24T05:00:26,-65.7548,-61.0270,0.021,-1.9,988.3,-1.0,0.0,4.0,60.0
2019-01-24T06:00:54,-65.7550,-61.0259,0.015,-1.9,987.9,-1.0,0.0,5.0,60.0
2019-01-24T07:00:26,-65.7559,-61.0241,0.036,-1.9,987.6,-0.9,0.0,4.0,60.0
2019-01-24T08:00:26,-65.7572,-61.0210,0.054,-2.0,987.1,-1.2,0.0,5.0,60.0
2019-01-24T09:00:54,-65.7584,-61.0167,0.067,-2.4,986.5,-1.4,0.0,4.0,60.0
2019-01-24T10:00:26,-65.7593,-61.0118,0.068,-2.5,986.0,-1.6,0.0,4.0,60.0
2019-01-24T11:00:26,-65.7600,-61.0069,0.066,-2.5,985.2,-1.9,0.0,5.0,60.0
2019-01-24T12:00:54,-65.7606,-61.0021,0.064,-2.1,984.3,-2.2,0.0,5.0,60.0
2019-01-24T13:00:26,-65.7612,-60.9997,0.036,-2.6,983.9,-2.1,0.0,4.0,60.0
2019-01-24T14:00:26,-65.7627,-60.9982,0.049,-2.2,983.0,-2.2,0.0,4.0,60.0
2019-01-24T15:00:26,-65.7647,-60.9966,0.065,-2.1,982.2,-2.1,0.0,4.0,60.0
2019-01-24T16:00:54,-65.7668,-60.9957,0.067,-2.5,981.7,-2.2,0.0,4.0,60.0
2019-01-24T17:00:26,-65.7693,-60.9958,0.079,-2.5,981.1,-1.9,0.0,3.0,60.0
2019-01-24T18:00:26,-65.7724,-60.9952,0.095,-1.8,980.5,-1.7,0.0,4.0,60.0
2019-01-24T19:00:28,-65.7754,-60.9933,0.094,-1.4,979.8,-1.9,0.0,4.0,60.0
2019-01-24T20:00:54,-65.7776,-60.9919,0.071,-1.4,979.3,-1.8,0.0,4.0,60.0
2019-01-24T21:00:26,-65.7793,-60.9913,0.055,-1.4,978.9,-1.6,0.0,4.0,60.0
2019-01-24T22:00:26,-65.7803,-60.9910,0.030,-1.6,978.7,-1.1,0.0,4.0,60.0
2019-01-24T23:00:27,-65.7805,-60.9901,0.013,-1.7,978.7,-0.6,0.0,6.0,60.0
2019-01-25T00:00:54,-65.7795,-60.9879,0.042,-1.9,978.6,-0.3,0.0,5.0,60.0
2019-01-25T01:00:26,-65.7774,-60.9856,0.070,-1.9,978.6,-0.1,0.0,4.0,60.0
2019-01-25T02:00:26,-65.7743,-60.9836,0.099,-1.8,978.7,0.0,0.0,3.0,60.0
2019-01-25T03:00:54,-65.7707,-60.9828,0.112,-1.8,978.8,0.2,0.0,3.0,60.0
2019-01-25T04:00:26,-65.7672,-60.9828,0.108,-1.8,979.0,0.4,0.0,3.0,60.0
2019-01-25T05:00:26,-65.7640,-60.9830,0.100,-1.8,979.1,0.4,0.0,2.0,60.0
2019-01-25T06:00:54,-65.7607,-60.9829,0.101,-1.8,979.3,0.5,0.0,3.0,60.0
2019-01-25T07:00:26,-65.7579,-60.9826,0.088,-1.9,979.7,0.7,0.0,3.0,60.0
2019-01-25T08:00:26,-65.7554,-60.9828,0.079,-1.9,980.0,0.9,0.0,5.0,60.0
2019-01-25T09:00:26,-65.7533,-60.9849,0.070,-1.9,980.4,1.1,0.0,6.0,60.0
2019-01-25T10:00:54,-65.7515,-60.9874,0.065,-1.9,980.7,1.0,0.0,3.0,60.0
2019-01-25T11:00:26,-65.7493,-60.9896,0.073,-1.6,981.1,1.1,0.0,5.0,60.0
2019-01-25T12:00:26,-65.7476,-60.9905,0.055,-1.5,981.6,1.2,0.0,4.0,60.0
2019-01-25T13:00:26,-65.7464,-60.9886,0.044,-1.0,982.0,1.3,0.0,5.0,60.0
2019-01-25T14:00:54,-65.7455,-60.9848,0.055,-0.7,982.4,1.3,0.0,5.0,60.0
2019-01-25T15:00:26,-65.7448,-60.9806,0.059,-0.7,982.8,1.2,0.0,6.0,60.0
2019-01-25T16:00:25,-65.7446,-60.9759,0.060,0.0,983.3,1.3,0.0,5.0,60.0
2019-01-25T17:00:25,-65.7445,-60.9716,0.055,-0.1,983.9,1.5,0.0,4.0,60.0
2019-01-25T18:00:54,-65.7448,-60.9679,0.048,0.1,984.2,1.4,0.0,5.0,60.0
2019-01-25T19:00:26,-65.7453,-60.9650,0.041,0.2,984.6,1.3,0.0,3.0,60.0
2019-01-25T20:00:26,-65.7461,-60.9628,0.036,0.4,985.1,1.2,0.0,5.0,60.0
2019-01-25T21:00:27,-65.7469,-60.9608,0.037,0.5,985.4,1.2,0.0,3.0,60.0
2019-01-25T22:00:54,-65.7474,-60.9589,0.029,0.3,985.8,1.2,0.0,2.0,60.0
2019-01-25T23:00:26,-65.7470,-60.9566,0.031,0.1,986.1,1.0,0.0,4.0,60.0
2019-01-26T00:00:26,-65.7458,-60.9534,0.058,0.0,986.4,1.0,0.0,3.0,60.0
2019-01-26T01:00:26,-65.7439,-60.9490,0.081,-0.2,986.6,0.8,0.0,4.0,60.0
2019-01-26T02:00:54,-65.7417,-60.9436,0.095,-0.3,987.1,1.0,0.0,3.0,60.0
2019-01-26T03:00:26,-65.7396,-60.9383,0.095,-0.8,987.3,0.9,0.0,3.0,60.0
2019-01-26T04:00:26,-65.7377,-60.9328,0.092,-1.1,987.6,1.0,0.0,5.0,60.0
2019-01-26T05:00:54,-65.7360,-60.9271,0.088,-1.1,987.9,0.8,0.0,3.0,60.0
2019-01-26T06:00:26,-65.7349,-60.9219,0.075,-1.2,987.8,0.5,0.0,5.0,60.0
2019-01-26T07:00:25,-65.7344,-60.9178,0.055,-1.2,987.9,0.3,0.0,7.0,60.0
2019-01-26T08:00:54,-65.7344,-60.9140,0.048,-1.4,988.0,0.1,0.0,3.0,60.0
2019-01-26T09:00:26,-65.7346,-60.9101,0.051,-1.8,988.1,0.3,0.0,5.0,60.0
2019-01-26T10:00:25,-65.7347,-60.9062,0.050,-1.4,988.2,0.3,0.0,4.0,60.0
2019-01-26T11:00:54,-65.7348,-60.9025,0.047,-1.0,988.5,0.5,0.0,3.0,60.0
2019-01-26T12:00:26,-65.7353,-60.8970,0.072,-0.5,988.5,0.4,0.0,3.0,60.0
2019-01-26T13:00:25,-65.7359,-60.8886,0.109,0.3,988.6,0.4,0.0,3.0,60.0
2019-01-26T14:00:54,-65.7367,-60.8781,0.135,1.4,988.6,0.1,0.0,4.0,60.0
2019-01-26T15:00:26,-65.7377,-60.8667,0.150,2.5,988.7,0.2,0.0,3.0,60.0
2019-01-26T16:00:26,-65.7386,-60.8544,0.159,2.6,988.9,0.3,0.0,5.0,60.0
2019-01-26T17:00:26,-65.7393,-60.8426,0.152,1.9,988.9,0.3,0.0,5.0,60.0
2019-01-26T18:00:54,-65.7402,-60.8326,0.129,0.8,988.8,0.1,0.0,4.0,60.0
2019-01-26T19:00:26,-65.7419,-60.8256,0.105,0.1,989.0,0.1,0.0,5.0,60.0
2019-01-26T20:00:26,-65.7446,-60.8200,0.108,-0.5,988.9,0.0,0.0,4.0,60.0
2019-01-26T21:00:27,-65.7477,-60.8140,0.122,-0.8,988.8,0.0,0.0,4.0,60.0
2019-01-26T22:00:54,-65.7508,-60.8068,0.132,-1.2,988.7,-0.3,0.0,4.0,60.0
2019-01-26T23:00:26,-65.7533,-60.7988,0.131,-1.8,988.3,-0.6,0.0,3.0,60.0
2019-01-27T00:00:26,-65.7554,-60.7902,0.128,-2.3,988.0,-0.8,0.0,3.0,60.0
2019-01-27T01:00:26,-65.7567,-60.7805,0.129,-2.5,987.8,-0.9,0.0,5.0,60.0
2019-01-27T02:00:54,-65.7571,-60.7705,0.127,-2.6,987.6,-0.7,0.0,4.0,60.0
2019-01-27T03:00:26,-65.7566,-60.7612,0.119,-2.9,987.4,-0.6,0.0,4.0,60.0
2019-01-27T04:00:26,-65.7557,-60.7528,0.111,-3.0,987.0,-0.8,0.0,4.0,60.0
2019-01-27T05:00:54,-65.7550,-60.7446,0.105,-3.0,986.7,-0.9,0.0,4.0,60.0
2019-01-27T06:00:26,-65.7547,-60.7371,0.097,-3.0,986.4,-1.0,0.0,4.0,60.0
2019-01-27T07:00:25,-65.7549,-60.7307,0.081,-4.0,986.1,-0.9,0.0,4.0,60.0
2019-01-27T08:00:54,-65.7557,-60.7253,0.073,-4.9,985.8,-0.9,0.0,4.0,60.0
2019-01-27T09:00:26,-65.7569,-60.7201,0.076,-4.7,985.5,-0.9,0.0,3.0,60.0
2019-01-27T10:00:26,-65.7581,-60.7147,0.078,-4.7,984.9,-1.2,0.0,3.0,60.0
2019-01-27T11:00:54,-65.7592,-60.7099,0.070,-4.2,984.5,-1.3,0.0,2.0,60.0
2019-01-27T12:00:26,-65.7598,-60.7055,0.060,-3.3,984.0,-1.5,0.0,3.0,60.0
2019-01-27T13:00:25,-65.7600,-60.7012,0.055,-2.5,983.3,-1.6,0.0,4.0,60.0
2019-01-27T14:00:54,-65.7596,-60.6975,0.049,-2.1,983.3,-1.2,0.0,5.0,60.0
