time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min)
2016-01-18T12:00:00,-75.3076,-36.6286,0.000,0.0,983.2,0.0,16.000000,44.000000,0
2016-01-18T13:00:00,-75.3054,-36.6302,0.069,0.2,983.4,0.0,16.000000,40.000000,0
2016-01-18T14:00:00,-75.3044,-36.6334,0.040,0.5,983.7,0.0,16.000000,44.000000,0
2016-01-18T15:00:00,-75.3044,-36.6366,0.025,0.9,983.8,0.6,16.000000,40.000000,0
2016-01-18T16:00:00,-75.3054,-36.6384,0.034,1.2,984.0,0.6,16.000000,44.000000,0
2016-01-18T17:00:00,-75.3070,-36.6374,0.050,1.5,984.2,0.5,16.000000,44.000000,0
2016-01-18T18:00:00,-75.3082,-36.6328,0.052,1.7,984.6,0.8,16.000000,40.000000,0
2016-01-18T19:00:00,-75.3092,-36.6246,0.072,1.8,985.2,1.1,16.000000,40.000000,0
2016-01-18T20:00:00,-75.3096,-36.6138,0.086,2.0,985.6,1.4,16.000000,40.000000,0
2016-01-18T21:00:00,-75.3090,-36.6014,0.099,1.5,985.9,1.3,16.000000,40.000000,0
2016-01-18T22:00:00,-75.3080,-36.5890,0.102,0.5,986.3,1.1,16.000000,44.000000,0
2016-01-18T23:00:00,-75.3066,-36.5776,0.100,0.3,986.6,1.1,16.000000,44.000000,0
2016-01-19T00:00:00,-75.3054,-36.5682,0.083,0.6,987.2,1.3,16.000000,44.000000,0
2016-01-19T01:00:00,-75.3040,-36.5610,0.071,0.7,987.5,1.3,16.000000,44.000000,0
2016-01-19T02:00:00,-75.3030,-36.5552,0.055,0.5,987.7,1.1,16.000000,44.000000,0
2016-01-19T03:00:00,-75.3024,-36.5506,0.041,0.4,987.8,0.6,16.000000,44.000000,0
2016-01-19T04:00:00,-75.3020,-36.5464,0.035,0.2,987.9,0.4,16.000000,40.000000,0
2016-01-19T05:00:00,-75.3016,-36.5414,0.041,0.1,988.1,0.4,16.000000,44.000000,0
2016-01-19T06:00:00,-75.3012,-36.5348,0.053,-0.0,988.4,0.5,16.000000,44.000000,0
2016-01-19T07:00:00,-75.2998,-36.5266,0.078,-0.1,988.7,0.7,16.000000,44.000000,0
2016-01-19T08:00:00,-75.2976,-36.5166,0.104,-0.0,988.8,0.7,16.000000,44.000000,0
2016-01-19T09:00:00,-75.2944,-36.5060,0.130,0.1,989.0,0.7,16.000000,44.000000,0
2016-01-19T10:00:00,-75.2902,-36.4966,0.150,0.1,989.3,0.7,16.000000,44.000000,0
2016-01-19T11:00:00,-75.2858,-36.4892,0.148,0.6,989.4,0.5,16.000000,44.000000,0
2016-01-19T12:00:00,-75.2812,-36.4852,0.146,3.9,989.4,0.4,16.000000,44.000000,0
2016-01-19T13:00:00,-75.2772,-36.4844,0.124,3.4,989.4,0.1,16.000000,44.000000,0
2016-01-19T14:00:00,-75.2738,-36.4860,0.106,2.3,989.3,-0.1,16.000000,40.000000,0
2016-01-19T15:00:00,-75.2710,-36.4894,0.091,1.8,989.1,-0.3,16.000000,44.000000,0
2016-01-19T16:00:00,-75.2694,-36.4932,0.058,1.2,988.9,-0.6,16.000000,44.000000,0
2016-01-19T17:00:00,-75.2684,-36.4964,0.040,0.9,988.9,-0.4,16.000000,40.000000,0
2016-01-19T18:00:00,-75.2678,-36.4970,0.019,0.7,989.0,-0.2,16.000000,44.000000,0
2016-01-19T19:00:00,-75.2672,-36.4950,0.024,0.6,989.2,0.3,16.000000,44.000000,0
2016-01-19T20:00:00,-75.2658,-36.4898,0.060,0.5,989.3,0.4,16.000000,44.000000,0
2016-01-19T21:00:00,-75.2636,-36.4824,0.090,0.4,989.4,0.4,16.000000,44.000000,0
2016-01-19T22:00:00,-75.2604,-36.4734,0.122,0.1,989.4,0.2,16.000000,44.000000,0
2016-01-19T23:00:00,-75.2566,-36.4638,0.140,-0.3,989.4,0.2,16.000000,44.000000,0
2016-01-20T00:00:00,-75.2524,-36.4548,0.148,-0.7,989.5,0.1,16.000000,44.000000,0
2016-01-20T01:00:00,-75.2480,-36.4476,0.148,-1.3,989.5,0.1,16.000000,44.000000,0
2016-01-20T02:00:00,-75.2442,-36.4422,0.125,-1.8,989.4,-0.1,16.000000,40.000000,0
2016-01-20T03:00:00,-75.2406,-36.4384,0.116,-2.3,989.3,-0.3,16.000000,44.000000,0
2016-01-20T04:00:00,-75.2374,-36.4360,0.101,-2.7,989.1,-0.4,16.000000,40.000000,0
2016-01-20T05:00:00,-75.2346,-36.4336,0.089,-3.0,989.1,-0.3,16.000000,44.000000,0
2016-01-20T06:00:00,-75.2320,-36.4306,0.084,-3.1,989.0,-0.3,16.000000,44.000000,0
2016-01-20T07:00:00,-75.2290,-36.4274,0.096,-3.1,989.1,0.0,16.000000,44.000000,0
2016-01-20T08:00:00,-75.2252,-36.4230,0.123,-3.1,989.2,0.2,16.000000,44.000000,0
2016-01-20T09:00:00,-75.2202,-36.4178,0.160,-2.6,989.4,0.4,16.000000,44.000000,0
2016-01-20T10:00:00,-75.2138,-36.4128,0.202,-1.0,989.3,0.2,16.000000,44.000000,0
2016-01-20T11:00:00,-75.2064,-36.4088,0.232,0.1,989.4,0.2,16.000000,44.000000,0
2016-01-20T12:00:00,-75.1986,-36.4076,0.242,0.2,989.5,0.1,16.000000,44.000000,0
2016-01-20T13:00:00,-75.1910,-36.4104,0.237,-0.5,989.9,0.6,16.000000,44.000000,0
2016-01-20T14:00:00,-75.1838,-36.4176,0.230,-0.9,989.9,0.5,16.000000,40.000000,0
2016-01-20T15:00:00,-75.1780,-36.4282,0.199,-1.2,990.0,0.4,16.000000,44.000000,0
2016-01-20T16:00:00,-75.1738,-36.4410,0.165,-1.4,990.0,0.2,16.000000,44.000000,0
2016-01-20T17:00:00,-75.1716,-36.4544,0.126,-1.8,990.3,0.4,16.000000,40.000000,0
2016-01-20T18:00:00,-75.1712,-36.4650,0.085,-1.8,990.7,0.7,16.000000,44.000000,0
2016-01-20T19:00:00,-75.1718,-36.4710,0.051,-1.9,991.0,1.0,16.000000,44.000000,0
2016-01-20T20:00:00,-75.1726,-36.4712,0.025,-2.0,991.2,0.9,16.000000,44.000000,0
2016-01-20T21:00:00,-75.1732,-36.4656,0.048,-2.0,991.4,0.8,16.000000,44.000000,0
2016-01-20T22:00:00,-75.1728,-36.4556,0.080,-2.3,991.5,0.5,16.000000,44.000000,0
2016-01-20T23:00:00,-75.1714,-36.4438,0.103,-2.4,991.6,0.4,16.000000,44.000000,0
2016-01-21T00:00:00,-75.1690,-36.4320,0.120,-2.4,991.7,0.3,16.000000,44.000000,0
2016-01-21T01:00:00,-75.1664,-36.4220,0.113,-2.6,991.8,0.3,16.000000,44.000000,0
2016-01-21T02:00:00,-75.1640,-36.4148,0.094,-2.8,991.8,0.2,16.000000,44.000000,0
2016-01-21T03:00:00,-75.1622,-36.4100,0.068,-3.0,991.8,0.0,16.000000,44.000000,0
2016-01-21T04:00:00,-75.1602,-36.4078,0.064,-3.5,991.8,0.0,16.000000,40.000000,0
2016-01-21T05:00:00,-75.1588,-36.4074,0.044,-3.6,991.8,0.0,16.000000,44.000000,0
2016-01-21T06:00:00,-75.1584,-36.4078,0.013,-3.6,991.9,0.1,16.000000,44.000000,0
2016-01-21T07:00:00,-75.1584,-36.4080,0.002,-3.3,991.8,0.0,16.000000,40.000000,0
2016-01-21T08:00:00,-75.1586,-36.4066,0.013,-3.1,991.8,0.0,16.000000,44.000000,0
2016-01-21T09:00:00,-75.1580,-36.4034,0.032,-3.3,991.7,-0.2,16.000000,44.000000,0
2016-01-21T10:00:00,-75.1564,-36.3994,0.059,-2.6,991.7,-0.1,16.000000,44.000000,0
2016-01-21T11:00:00,-75.1534,-36.3960,0.097,-2.4,991.3,-0.5,16.000000,44.000000,0
2016-01-21T12:00:00,-75.1494,-36.3942,0.125,-1.5,991.3,-0.4,16.000000,44.000000,0
