time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-10-28 10:00:00+00:00,-59.353,6.5738,,Point,0.58,994.9,ISVP5,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-10-28 11:00:00+00:00,-59.3426,6.5752,,Point,-0.88,994.6,ISVP5,79.64028589004288,1158.571774571595,1161.305787452479,3600.0,0.32258494095902196,0.02212230163612302,0.32182549293655416,0.07964028589004288,1.1585717745715949,1.1613057874524788
2019-10-28 12:00:00+00:00,-59.3314,6.5766,,Point,1.44,994.9,ISVP5,79.66463971131907,1247.6905982039866,1250.2312920683742,3600.0,0.3472864700189928,0.02212906658647752,0.3465807217233296,0.15928057177136862,2.406262372775522,2.411528334309821
2019-10-28 13:00:00+00:00,-59.3204,6.5774,,Point,0.91,995.3,ISVP5,45.53763653162827,1225.4083067937868,1226.2541313692288,3600.0,0.34062614760256354,0.012649343481007854,0.3403911963316074,0.2047893065533725,3.631670679569404,3.6374401142730455
2019-10-28 14:00:00+00:00,-59.3098,6.5768,,Point,-0.21,995.9,ISVP5,-34.164264366844364,1180.846033355581,1181.34015061342,3600.0,0.32815004183706115,-0.009490073435234546,0.32801278704321696,0.17065775546749554,4.812516712925414,4.81554162910961
2019-10-28 15:00:00+00:00,-59.2996,6.5744,,Point,-1.42,996.2,ISVP5,-136.6995951274481,1136.28397859908,1144.477199130224,3600.0,0.3179103330917289,-0.037972109757624474,0.31563443849974443,0.03413155109622945,5.948800691524719,5.948898606487188
2019-10-28 16:00:00+00:00,-59.2904,6.5718,,Point,-4.31,996.6,ISVP5,-148.1355667162043,1024.8820512125744,1035.5324065542445,3600.0,0.28764789070951235,-0.04114876853227897,0.28468945867015955,0.11377183698368942,6.973682742737139,6.974610743779213
2019-10-28 17:00:00+00:00,-59.2814,6.5698,,Point,35.02,997.2,ISVP5,-113.98119567334028,1002.6005954873763,1009.0588025674053,3600.0,0.28029411182427927,-0.031661443242594525,0.2785001654131601,0.2275436739417666,7.976283338224279,7.97952830781276
2019-10-28 18:00:00+00:00,-59.2726,6.5676,,Point,34.0,998.0,ISVP5,-125.41241222012737,980.3192325768251,988.3086921093462,3600.0,0.2745301922525962,-0.0348367811722576,0.272310897938007,0.3526926945356451,8.956602570801083,8.96354403950019
2019-10-28 19:00:00+00:00,-59.264,6.5658,,Point,33.43,998.9,ISVP5,-102.63663055846463,958.0379604431668,963.5201147783566,3600.0,0.2676444763273213,-0.028510175155129065,0.2661216556786574,0.4550873476780305,9.914640531244064,9.92507941317369
2019-10-28 20:00:00+00:00,-59.2552,6.5656,,Point,33.18,999.4,ISVP5,-11.406944621007483,980.3165932295345,980.3829564750438,3600.0,0.2723285990208455,-0.0031685957280576343,0.2723101647859818,0.4664645313558073,10.894957124474136,10.904938326425452
