time,Unit_ID,latitude (deg),longitude (deg),Altitude,Bearing,Speed,temperature (degC),Battery Level,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2017-07-05 00:00:28,Trident_U1,-62.84148,30.20145,8170,0,0.0,-4.0,4.5,,,,,
2017-07-05 04:00:28,Trident_U1,-62.84968,30.35747,8171,93,1.99,-7.0,4.5,7948.810770464547,-913.9654426426385,0.5556376913892638,0.5520007479489268,-0.06346982240573878
2017-07-05 08:00:28,Trident_U1,-62.83113,30.47855,8167,81,1.62,-7.0,4.5,6166.991242368926,2067.5666346862968,0.45169120630601317,0.4282632807200643,0.1435810162976595
2017-07-05 12:00:07,Trident_U1,-62.81512,30.56538,123,80,1.19,-6.0,4.2,4425.317480153693,1784.4560615331961,0.33184178464183106,0.3077625342620275,0.12410154124300689
2017-07-05 16:00:28,Trident_U1,-62.79412,30.68123,7912,80,1.58,-8.0,4.5,5907.540071640696,2340.6294803991404,0.44063069260018944,0.40964843434163345,0.162307016184671
2017-07-05 20:00:06,Trident_U1,-62.75808,30.79507,30,72,1.76,-9.0,4.2,5809.180603049783,4016.9496055529457,0.4912193510930955,0.4040325916712883,0.27938166682104226
2017-07-06 00:00:10,Trident_U1,-62.72872,30.8892,2,73,1.45,-9.0,4.2,4809.260735805903,3272.394211387884,0.40384653396984455,0.3338836945158222,0.22718649065453234
2017-07-06 03:59:53,Trident_U1,-62.72088,30.99443,7923,86,1.36,-11.0,4.5,5381.72114534879,873.825004937759,0.37907256580562254,0.37417236635950707,0.060754015500087535
2017-07-06 08:00:28,Trident_U1,-62.697,31.11793,8164,79,1.7,-11.0,4.5,6317.767735099928,2661.593572214183,0.4749240311349483,0.4376700890266663,0.1843847296303556
2017-07-06 12:00:24,Trident_U1,-62.66403,31.15632,8171,49,1.04,-9.0,4.5,1965.4644960903054,3674.7228554692415,0.2894783224875662,0.13652851459365833,0.2552599927389026
2017-07-06 16:00:25,Trident_U1,-62.66045,31.15018,7904,300,0.13,-11.0,4.5,-314.7013220512283,399.01344471564096,0.03528794602968213,-0.021852740924326666,0.02770734287310888
2017-07-06 20:00:28,Trident_U1,-62.6617,31.16082,8168,97,0.14,-9.0,4.5,545.4114353976695,-139.32031351070975,0.03908382380687058,0.03786790497796775,-0.009673006561876675
2017-07-07 00:00:28,Trident_U1,-62.63838,31.11258,8165,296,0.89,-9.0,4.5,-2472.7009763410106,2599.155644932761,0.249129078912901,-0.17171534557923684,0.18049691978699728
