time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,surf temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-07-27 08:00:00,-56.9684,0.0294,40,2019,7,27,8,0,-1.3,1005.8,1.8,15.8,0,40,26,17, 2826EDA00C2D25C47FFD847FC000A1499B786636BF,ISVP1_30min,608.093451924808,979.962614514946,1153.3015096325842,1800.0,0.6407230609069912,0.3378296955137822,0.5444236747305256,7.358750936625452,7.3720255250323925,10.416236157509829
2019-07-27 08:30:00,-56.9598,0.0382,40,2019,7,27,8,30,-1.3,1006.3,1.8,15.8,0,40,28,10, 2826EDA1EC3725C47FFD82BFC000A1545B78BE3ABF,ISVP1_30min,535.2484283970286,957.689395958158,1097.1143327986333,1800.0,0.6095079626659073,0.29736023799834926,0.5320496644211989,7.89304952861078,8.329714920990249,11.47538154163383
2019-07-27 09:00:00,-56.9508,0.0444,40,2019,7,27,9,0,-1.3,1007.3,2.2,15.8,0,40,26,11, 2826EDA40C4B25C57FFD82FFC000A15F9B78FC36BF,ISVP1_30min,377.1937251087465,1002.2316691479314,1070.861067041127,1800.0,0.5949228150228483,0.20955206950485916,0.5567953717488507,8.269487153420188,9.331946590138587,12.468746726988272
2019-07-27 09:30:00,-56.942,0.05,40,2019,7,27,9,30,-1.3,1007.8,2.0,15.8,0,40,24,10, 2826EDA5EC5525C4FFFD82BFC000A16A9B793432BF,ISVP1_30min,340.7732182058798,979.9584502198729,1037.5186506293405,1800.0,0.5763992503496336,0.18931845455882212,0.5444213612332628,8.609495316042306,10.311905040358297,13.433495269598351
2019-07-27 10:00:00,-56.9328,0.052,40,2019,7,27,10,0,-1.3,1008.5,2.1,15.8,0,40,24,7, 2826EDA80C6325C53FFD81FFC000A1761B794832BF,ISVP1_30min,121.73339178268684,1024.5005315607273,1031.7074962619638,1800.0,0.5731708312566466,0.06762966210149268,0.5691669619781818,8.730926799215151,11.33640557191874,14.308849501769302
2019-07-27 10:30:00,-56.9238,0.0532,40,2019,7,27,10,30,-1.3,1009.0,1.7,15.8,0,40,24,11, 2826EDA9EC6D25C43FFD82FFC000A1815B795432BF,ISVP1_30min,73.05801772125062,1002.2273122361119,1004.8865902903568,1800.0,0.5582703279390872,0.04058778762291701,0.5567929512422843,8.803785688221893,12.338632884154672,15.157457039163386
2019-07-27 11:00:00,-56.9156,0.0546,40,2019,7,27,11,0,-1.3,1009.7,1.9,15.8,0,40,24,27, 2826EDAC0C7B25C4BFFD86FFC000A18B9B796232BF,ISVP1_30min,85.25487553208531,913.139175294724,917.1104335138273,1800.0,0.5095057963965707,0.04736381974004739,0.5072995418304023,8.888787724537103,13.251772059449205,15.956817036222484
2019-07-27 11:30:00,-56.908,0.0554,40,2019,7,27,11,30,-1.3,1010.2,1.8,15.8,0,40,28,22, 2826EDADEC8525C47FFD85BFC000A1951B796A3ABF,ISVP1_30min,48.727754896178055,846.3230367640869,847.7246467189732,1800.0,0.47095813706609624,0.027070974942321142,0.47017946486893714,8.937360316298475,14.098095096213637,16.692294472756878
2019-07-27 12:00:00,-56.9006,0.056,40,2019,7,27,12,0,-1.3,1010.8,1.9,15.8,0,40,30,12, 2826EDB00C9125C4BFFD833FC000A19E5B79703EBF,ISVP1_30min,36.55324159682513,824.0503822970153,824.8606985637592,1800.0,0.4582559436465329,0.020307356442680627,0.45780576794278627,8.973789759918375,14.922145478510908,17.412619801082762
2019-07-27 12:30:00,-56.8932,0.0564,40,2019,7,27,12,30,-1.3,1011.5,1.8,15.8,0,40,26,7, 2826EDB1EC9F25C47FFD81FFC000A1A79B797436BF,ISVP1_30min,24.37364732673723,824.049399853201,824.4097816513513,1800.0,0.45800543425075074,0.013540915181520684,0.4578052221406672,8.998076055568808,15.746194878363603,18.13582162046167
2019-07-27 13:00:00,-56.8858,0.0566,40,2019,7,27,13,0,-1.3,1012.2,2.0,15.8,0,40,24,14, 2826EDB40CAD25C4FFFD83BFC000A1B0DB797632BF,ISVP1_30min,12.189233255368665,824.0484173008425,824.1385632667466,1800.0,0.45785475737041476,0.0067717962529825915,0.45780467627824584,9.010219203365097,16.57024329566424,18.861522021570657
2019-07-27 13:30:00,-56.8778,0.0562,40,2019,7,27,13,30,-1.3,1012.7,1.9,15.8,0,40,38,7, 2826EDB5ECB725C4BFFD81FFC000A1BADB79724EBF,ISVP1_30min,-24.383285283102072,890.862048429378,891.1956765677135,1800.0,0.49510870920428524,-0.013546269601723374,0.49492336023854333,8.985932907753224,17.46110534409369,19.637647263869965
2019-07-27 14:00:00,-56.87,0.0552,40,2019,7,27,14,0,-1.3,1013.3,1.7,15.8,0,40,40,8, 2826EDB80CC325C43FFD823FC000A1C49B796852BF,ISVP1_30min,-60.97123575874979,868.5893913226054,870.7267207959815,1800.0,0.4837370671088786,-0.03387290875486099,0.4825496618458919,8.925217168386816,18.3296947354164,20.387182507556517
2019-07-27 14:30:00,-56.863,0.0546,40,2019,7,27,14,30,-1.3,1014.1,1.9,15.8,0,36,42,10, 2826EDB9ECD325C4BFFD82BFC000A1CD5B7962567F,ISVP1_30min,-36.59035895305834,779.5023701401338,780.3606854669192,1800.0,0.43353371414828845,-0.020327977196143522,0.43305687230007434,8.888787724537103,19.109197105556646,21.075387570123024
