time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,temperature (degC),barometric_pressure (hPa), BPT, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-08-25 03:00:00,-55.2132,10.6494,40,2019,8,25,3,0,-1.3,973.4,-2.4,14.0,0,44,58,10, 28270C8C09A525B9FFFB42BFC000A9DB9D173E76FF,ISVP3,,,,,
2019-08-25 02:00:00,-55.2186,10.6096,40,2019,8,25,2,0,-1.2,973.9,-2.7,14.0,0,40,54,9, 28270C8809AF26393FFB427FC000A9D4DD15B06EBF,ISVP3,-2533.443369480409,-601.1685049912943,0.723275880855282,-0.7037342693001135,-0.16699125138647064
2019-08-25 01:00:00,-55.223,10.566,40,2019,8,25,1,0,-1.2,974.6,-2.1,14.0,0,40,72,18, 28270C8409BD263ABFFB44BFC000A9CF5D13FC92BF,ISVP3,-2774.9541934481604,-489.8414000385049,0.7827379224992602,-0.7708206092911557,-0.13606705556625137
2019-08-25 00:00:00,-55.2226,10.5256,40,2019,8,25,0,0,-1.1,975.8,-1.2,14.0,0,40,58,15, 28270C8009D526BCFFFB43FFC000A9CFDD126876BF,ISVP3,-2571.004145363935,44.53105105872125,0.7142749350700766,-0.7141678181566486,0.012369736405200348
2019-08-24 23:00:00,-55.2258,10.4834,40,2019,8,24,23,0,-1.1,976.6,-0.4,14.0,0,36,46,10, 28270C5C09E526BEFFFB42BFC000A9CBDD10C25E7F,ISVP3,-2685.5807714232114,-356.2484907478228,0.7525295340477064,-0.7459946587286699,-0.09895791409661744
2019-08-24 22:00:00,-55.2292,10.439,40,2019,8,24,22,0,-1.1,976.8,-0.5,14.0,0,40,60,10, 28270C5809E926BEBFFB42BFC000A9C79D0F067ABF,ISVP3,-2825.360589176646,-378.5142274662374,0.7918340699842886,-0.7848223858824017,-0.10514284096284372
2019-08-24 21:00:00,-55.2292,10.3988,40,2019,8,24,21,0,-1.1,977.0,-0.8,14.0,0,40,64,7, 28270C5409ED26BDFFFB41FFC000A9C79D0D7482BF,ISVP3,-2557.878608805057,0.0,0.7105218357791825,-0.7105218357791825,0.0
2019-08-24 20:00:00,-55.2288,10.3624,40,2019,8,24,20,0,-1.2,977.0,-1.3,14.0,0,40,50,8, 28270C5009ED263CBFFB423FC000A9C81D0C0866BF,ISVP3,-2316.089094343567,44.531096602039696,0.643476986426339,-0.643358081762102,0.012369749056122138
2019-08-24 19:00:00,-55.2284,10.327,40,2019,8,24,19,0,-1.1,977.2,-1.1,14.0,0,40,52,20, 28270C4C09F126BD3FFB453FC000A9C89D0AA66ABF,ISVP3,-2252.482874994163,44.53109366402607,0.6258119491615192,-0.6256896874983786,0.012369748240007243
2019-08-24 18:00:00,-55.2254,10.3,40,2019,8,24,18,0,-1.2,977.8,-1.1,14.0,0,40,60,7, 28270C4809FD263D3FFB41FFC000A9CC5D09987ABF,ISVP3,-1718.0126584576756,333.9831088281975,0.48615969690557526,-0.47722573846046545,0.09277308578561042
2019-08-24 17:00:00,-55.2294,10.274,40,2019,8,24,17,0,-1.2,978.2,-0.8,14.0,0,40,46,20, 28270C440A05263DFFFB453FC000A9C75D08945EBF,ISVP3,-1654.507052029409,-445.3108484978763,0.4759408596972882,-0.45958529223039135,-0.12369745791607675
2019-08-24 16:00:00,-55.2328,10.2456,40,2019,8,24,16,0,-1.1,978.3,-0.6,14.0,0,40,42,9, 28270C400A0726BE7FFB427FC000A9C31D077856BF,ISVP3,-1807.0494663947948,-378.51445223484336,0.5128518789413464,-0.5019581851096652,-0.1051429033985676
2019-08-24 15:00:00,-55.24,10.2152,40,2019,8,24,15,0,-1.1,978.9,0.1,14.0,0,44,84,7, 28270C3C0A1326C03FFB41FFC000A9BA1D0648AAFF,ISVP3,-1934.1414937031375,-801.5607172035758,0.5815716056400425,-0.5372615260286493,-0.22265575477877106
2019-08-24 14:00:00,-55.2492,10.185,40,2019,8,24,14,0,-1.2,979.0,0.7,14.0,0,40,74,13, 28270C380A152641BFFB437FC000A9AE9D051A96BF,ISVP3,-1921.0697949314579,-1024.2178571164334,0.6047351333176253,-0.5336304985920717,-0.2845049603101204
