time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2015-12-24 03:00:00,-70.5616,-11.419,,0.0,988.1,-0.9,15.4,44.0,0,2015P21,-572.2198545841677,0.0,572.2198545841677,3600.0,0.15894995960671326,-0.15894995960671326,0.0,5.789190805180382,2.9454184096878304,6.4953998943031275
2015-12-24 04:00:00,-70.5616,-11.419,,-0.1,987.9,-0.9,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,5.789190805180382,2.9454184096878304,6.4953998943031275
2015-12-24 05:00:00,-70.5616,-11.419,0.053,0.2,987.6,-0.8,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,5.789190805180382,2.9454184096878304,6.4953998943031275
2015-12-24 06:00:00,-70.5618,-11.466,,0.3,987.5,-0.6,15.4,48.0,0,2015P21,-1746.385231617374,-22.31380868463774,1746.527779129002,3600.0,0.4851466053136117,-0.48510700878260393,-0.00619828019017715,7.537852405746325,2.967732218373035,8.101027923096241
2015-12-24 07:00:00,-70.5618,-11.466,,0.3,987.5,-0.4,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,7.537852405746325,2.967732218373035,8.101027923096241
2015-12-24 08:00:00,-70.5618,-11.466,0.162,0.4,987.4,-0.2,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,7.537852405746325,2.967732218373035,8.101027923096241
2015-12-24 09:00:00,-70.5678,-11.4926,,0.2,987.5,0.0,15.4,48.0,0,2015P21,-988.369974703852,-669.4144901412882,1193.7298549115765,3600.0,0.3315916263643268,-0.27454721519551445,-0.18594846948369118,8.52751997777932,3.6371467085141456,9.270783847694902
2015-12-24 10:00:00,-70.5678,-11.4926,,-0.3,987.6,0.1,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,8.52751997777932,3.6371467085141456,9.270783847694902
2015-12-24 11:00:00,-70.5678,-11.4926,0.111,-0.2,987.9,0.5,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,8.52751997777932,3.6371467085141456,9.270783847694902
2015-12-24 12:00:00,-70.5586,-11.4734,,0.1,988.1,0.6,15.4,48.0,0,2015P21,713.198368611374,1026.4353698241666,1249.8885876013105,3600.0,0.34719127433369734,0.19811065794760388,0.2851209360622685,7.813173497899697,2.6107113386903396,8.237808798597385
2015-12-24 13:00:00,-70.5586,-11.4734,,0.3,988.3,0.7,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,7.813173497899697,2.6107113386903396,8.237808798597385
2015-12-24 14:00:00,-70.5586,-11.4734,0.116,0.7,988.5,0.6,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,7.813173497899697,2.6107113386903396,8.237808798597385
2015-12-24 15:00:00,-70.5424,-11.4924,,1.3,988.6,0.5,15.4,44.0,0,2015P21,-706.0901993665763,1807.4162627008454,1940.4424537504385,3600.0,0.5390117927084551,-0.19613616649071564,0.502060072972457,8.52007886967984,0.8032950759892237,8.5578634555988
2015-12-24 16:00:00,-70.5424,-11.4924,,1.1,988.5,0.2,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,8.52007886967984,0.8032950759892237,8.5578634555988
2015-12-24 17:00:00,-70.5424,-11.4924,0.18,1.1,988.8,0.3,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,8.52007886967984,0.8032950759892237,8.5578634555988
2015-12-24 18:00:00,-70.5406,-11.5542,,1.4,989.0,0.4,15.4,48.0,0,2015P21,-2298.4894461224503,200.82382905728107,2307.245965269745,3600.0,0.6409016570193735,-0.6384692905895696,0.05578439696035586,10.819380075449564,0.602471246932046,10.83614123294888
2015-12-24 19:00:00,-70.5406,-11.5542,,1.6,989.4,0.9,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,10.819380075449564,0.602471246932046,10.83614123294888
2015-12-24 20:00:00,-70.5406,-11.5542,0.214,1.3,989.9,1.1,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,10.819380075449564,0.602471246932046,10.83614123294888
2015-12-24 21:00:00,-70.5472,-11.5954,,0.9,990.1,1.1,15.4,48.0,0,2015P21,-1532.4624935052318,-736.3542355932988,1700.1937696264106,3600.0,0.4722760471184474,-0.4256840259736755,-0.20454284322036076,12.352246028542568,1.3388254825255403,12.424589957914321
2015-12-24 22:00:00,-70.5472,-11.5954,,0.4,990.3,0.9,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,12.352246028542568,1.3388254825255403,12.424589957914321
2015-12-24 23:00:00,-70.5472,-11.5954,0.157,0.0,990.6,0.7,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,12.352246028542568,1.3388254825255403,12.424589957914321
2015-12-25 00:00:00,-70.5522,-11.5972,,-0.6,990.9,0.8,15.4,48.0,0,2015P21,-66.9304338698302,-557.8444761416005,561.8453012526671,3600.0,0.15606813923685198,-0.018591787186063944,-0.15495679892822234,12.419215869197963,1.8966699586672595,12.563211362460212
2015-12-25 01:00:00,-70.5522,-11.5972,,-2.0,991.2,0.9,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,12.419215869197963,1.8966699586672595,12.563211362460212
2015-12-25 02:00:00,-70.5522,-11.5972,0.052,-3.0,991.4,0.8,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,12.419215869197963,1.8966699586672595,12.563211362460212
2015-12-25 03:00:00,-70.5526,-11.596,,-3.2,991.4,0.5,15.4,44.0,0,2015P21,44.60927254749644,-44.6275714314199,63.099978835838805,3600.0,0.01752777189884411,0.012391464596526788,-0.012396547619838862,12.374569309062796,1.9412975300985398,12.525917199357721
2015-12-25 04:00:00,-70.5526,-11.596,,-3.1,991.7,0.5,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,12.374569309062796,1.9412975300985398,12.525917199357721
2015-12-25 05:00:00,-70.5526,-11.596,0.006,-2.9,992.0,0.6,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,12.374569309062796,1.9412975300985398,12.525917199357721
2015-12-25 06:00:00,-70.5526,-11.6314,,-2.2,992.1,0.7,15.4,48.0,0,2015P21,-1315.9475217085694,0.0,1315.9475217085694,3600.0,0.3655409782523804,-0.3655409782523804,0.0,13.691642307332636,1.9412975300985398,13.828582905428437
2015-12-25 07:00:00,-70.5526,-11.6314,,-0.8,992.4,0.7,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,13.691642307332636,1.9412975300985398,13.828582905428437
2015-12-25 08:00:00,-70.5526,-11.6314,0.122,0.1,992.5,0.6,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,13.691642307332636,1.9412975300985398,13.828582905428437
2015-12-25 09:00:00,-70.5632,-11.6814,,0.6,992.8,0.7,15.4,48.0,0,2015P21,-1858.6829141126211,-1182.631362889438,2203.0249920742876,3600.0,0.6119513866873021,-0.5163008094757281,-0.32850871191373276,15.551912898657097,3.123928892988091,15.862563681065641
2015-12-25 10:00:00,-70.5632,-11.6814,,1.0,993.0,0.6,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,15.551912898657097,3.123928892988091,15.862563681065641
2015-12-25 11:00:00,-70.5632,-11.6814,0.204,1.3,993.3,0.8,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,15.551912898657097,3.123928892988091,15.862563681065641
2015-12-25 12:00:00,-70.5758,-11.6874,,1.4,993.3,0.5,15.4,48.0,0,2015P21,-222.9251728696194,-1405.7711602263566,1423.3369901829667,3600.0,0.3953713861619352,-0.06192365913044983,-0.39049198895176573,15.775145198945552,4.529700053214402,16.41259847251207
2015-12-25 13:00:00,-70.5758,-11.6874,,1.4,993.4,0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,15.775145198945552,4.529700053214402,16.41259847251207
2015-12-25 14:00:00,-70.5758,-11.6874,0.132,1.6,993.1,-0.1,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,15.775145198945552,4.529700053214402,16.41259847251207
2015-12-25 15:00:00,-70.5822,-11.689,,1.8,993.3,-0.1,15.4,44.0,0,2015P21,-59.40969207955922,-714.0432443367628,716.510478845884,3600.0,0.1990306885683011,-0.016502692244322006,-0.19834534564910078,15.834673805885128,5.243743297551279,16.680339873917394
2015-12-25 16:00:00,-70.5822,-11.689,,1.9,993.1,-0.2,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,15.834673805885128,5.243743297551279,16.680339873917394
2015-12-25 17:00:00,-70.5822,-11.689,0.066,2.0,993.2,0.0,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,15.834673805885128,5.243743297551279,16.680339873917394
2015-12-25 18:00:00,-70.59,-11.7228,,1.8,993.0,-0.3,15.4,48.0,0,2015P21,-1254.6324673148135,-870.2408871444733,1526.899417020799,3600.0,0.424138726950222,-0.3485090186985593,-0.24173357976235368,17.0922149699873,6.113984184695596,18.15281287269182
2015-12-25 19:00:00,-70.59,-11.7228,,1.5,992.9,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,17.0922149699873,6.113984184695596,18.15281287269182
2015-12-25 20:00:00,-70.59,-11.7228,0.141,1.4,992.8,-0.4,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,17.0922149699873,6.113984184695596,18.15281287269182
2015-12-25 21:00:00,-70.5982,-11.7592,,1.5,992.8,-0.2,15.4,48.0,0,2015P21,-1350.6212251368115,-914.8694338584291,1631.3073820707439,3600.0,0.4531409394640955,-0.3751725625380032,-0.2541303982940081,18.44648858862605,7.028853618554299,19.740256443151264
2015-12-25 22:00:00,-70.5982,-11.7592,,1.1,992.5,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,18.44648858862605,7.028853618554299,19.740256443151264
2015-12-25 23:00:00,-70.5982,-11.7592,0.151,0.1,992.6,-0.2,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,18.44648858862605,7.028853618554299,19.740256443151264
2015-12-26 00:00:00,-70.6024,-11.7772,,-1.1,992.4,-0.4,15.4,48.0,0,2015P21,-667.6185381412453,-468.5919822486269,815.6549259935545,3600.0,0.22657081277598734,-0.18544959392812368,-0.13016443951350748,19.116183730259678,7.497445600803015,20.533878614281456
2015-12-26 01:00:00,-70.6024,-11.7772,,-1.5,992.3,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,19.116183730259678,7.497445600803015,20.533878614281456
2015-12-26 02:00:00,-70.6024,-11.7772,0.076,-2.0,992.0,-0.5,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,19.116183730259678,7.497445600803015,20.533878614281456
2015-12-26 03:00:00,-70.6064,-11.787,,-2.4,991.7,-0.7,15.4,44.0,0,2015P21,-363.4056065097953,-446.27828045304597,575.5240554893251,3600.0,0.15986779319147917,-0.10094600180827647,-0.123966189014735,19.480795354244485,7.943723881255655,21.038159062417627
2015-12-26 04:00:00,-70.6064,-11.787,,-2.0,991.4,-0.9,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,19.480795354244485,7.943723881255655,21.038159062417627
2015-12-26 05:00:00,-70.6064,-11.787,0.053,-1.3,990.9,-1.1,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,19.480795354244485,7.943723881255655,21.038159062417627
2015-12-26 06:00:00,-70.6124,-11.8102,,-0.4,990.7,-1.0,15.4,48.0,0,2015P21,-860.1366957836852,-669.4177903394658,1089.9336280052328,3600.0,0.30275934111256464,-0.23892685993991256,-0.18594938620540716,20.343957056976873,8.613141671594978,22.09214335892027
2015-12-26 07:00:00,-70.6124,-11.8102,,0.7,990.5,-0.9,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,20.343957056976873,8.613141671594978,22.09214335892027
2015-12-26 08:00:00,-70.6124,-11.8102,0.101,0.4,990.4,-0.6,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,20.343957056976873,8.613141671594978,22.09214335892027
2015-12-26 09:00:00,-70.617,-11.8506,,1.5,990.2,-0.5,15.4,48.0,0,2015P21,-1497.378986462784,-513.2206062733032,1582.8895159814065,3600.0,0.43969153221705737,-0.41593860735077337,-0.14256127952036202,21.84704719966106,9.12636227786823,23.67665431962705
2015-12-26 10:00:00,-70.617,-11.8506,,1.3,990.0,-0.5,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,21.84704719966106,9.12636227786823,23.67665431962705
2015-12-26 11:00:00,-70.617,-11.8506,0.147,1.4,989.8,-0.6,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,21.84704719966106,9.12636227786823,23.67665431962705
2015-12-26 12:00:00,-70.625,-11.8886,,2.0,989.7,-0.5,15.4,48.0,0,2015P21,-1408.1046984672278,-892.5581968537242,1667.1589536142778,3600.0,0.4630997093372994,-0.3911401940186744,-0.24793283245936784,23.260842658489903,10.01892047472204,25.32677572573793
2015-12-26 13:00:00,-70.625,-11.8886,,1.9,989.6,-0.4,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.260842658489903,10.01892047472204,25.32677572573793
2015-12-26 14:00:00,-70.625,-11.8886,0.154,2.2,989.4,-0.4,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.260842658489903,10.01892047472204,25.32677572573793
2015-12-26 15:00:00,-70.6438,-11.8956,,2.0,989.3,-0.4,15.4,44.0,0,2015P21,-259.2848432491988,-2097.5148638590967,2113.479887306384,3600.0,0.5870777464739956,-0.07202356756922189,-0.582643017738638,23.521278420144125,12.116435338580866,26.458619461943755
2015-12-26 16:00:00,-70.6438,-11.8956,,2.0,989.0,-0.7,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.521278420144125,12.116435338580866,26.458619461943755
2015-12-26 17:00:00,-70.6438,-11.8956,0.196,1.7,988.5,-0.9,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.521278420144125,12.116435338580866,26.458619461943755
2015-12-26 18:00:00,-70.6608,-11.8892,,1.4,988.3,-1.0,15.4,48.0,0,2015P21,236.83938942008353,-1896.6927163414339,1911.4225478955523,3600.0,0.5309507077487645,0.06578871928335654,-0.5268590878726205,23.283165726810296,14.013128054922484,27.174870085168195
2015-12-26 19:00:00,-70.6608,-11.8892,,1.2,987.9,-1.1,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.283165726810296,14.013128054922484,27.174870085168195
2015-12-26 20:00:00,-70.6608,-11.8892,0.177,1.2,987.6,-0.9,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.283165726810296,14.013128054922484,27.174870085168195
2015-12-26 21:00:00,-70.665,-11.9008,,0.8,987.3,-1.0,15.4,48.0,0,2015P21,-428.90907816814376,-468.5952184956218,635.2515062020761,3600.0,0.17645875172279893,-0.11914141060226216,-0.13016533847100606,23.714744935482898,14.481723273418364,27.786857258835134
2015-12-26 22:00:00,-70.665,-11.9008,,0.5,987.1,-0.8,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.714744935482898,14.481723273418364,27.786857258835134
2015-12-26 23:00:00,-70.665,-11.9008,0.059,0.5,987.1,-0.5,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.714744935482898,14.481723273418364,27.786857258835134
2015-12-27 00:00:00,-70.6674,-11.9306,,-0.5,987.0,-0.3,15.4,48.0,0,2015P21,-1101.6226513385873,-267.76879362967435,1133.6986340223534,3600.0,0.3149162872284315,-0.30600629203849644,-0.07438022045268732,24.82345604075679,14.74949206704808,28.874755168542972
2015-12-27 01:00:00,-70.6674,-11.9306,,-0.9,986.8,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.82345604075679,14.74949206704808,28.874755168542972
2015-12-27 02:00:00,-70.6674,-11.9306,0.105,-1.4,986.4,-0.7,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.82345604075679,14.74949206704808,28.874755168542972
2015-12-27 03:00:00,-70.6784,-11.9394,,-1.4,986.2,-0.8,15.4,44.0,0,2015P21,-325.272582904925,-1227.2745431139288,1269.647611491135,3600.0,0.3526798920808708,-0.09035349525136806,-0.34090959530942466,25.150860380025062,15.976766610161572,29.796356306956195
2015-12-27 04:00:00,-70.6784,-11.9394,,-1.4,985.9,-0.9,15.4,44.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,25.150860380025062,15.976766610161572,29.796356306956195
2015-12-27 05:00:00,-70.6784,-11.9394,0.118,-2.2,985.8,-0.6,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,25.150860380025062,15.976766610161572,29.796356306956195
2015-12-27 06:00:00,-70.6916,-11.923,,-0.2,985.7,-0.5,15.4,48.0,0,2015P21,605.8583215732888,-1472.7314136559091,1592.4830054316233,3600.0,0.4423563903976731,0.16829397821480244,-0.40909205934886367,24.540697642960165,17.449498023817227,30.111971408169076
2015-12-27 07:00:00,-70.6916,-11.923,,1.2,985.6,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.540697642960165,17.449498023817227,30.111971408169076
2015-12-27 08:00:00,-70.6916,-11.923,0.147,1.9,985.6,-0.3,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.540697642960165,17.449498023817227,30.111971408169076
2015-12-27 09:00:00,-70.693,-11.9122,,2.0,985.5,-0.3,15.4,48.0,0,2015P21,398.7178927333548,-156.19891178772482,428.22197284749,3600.0,0.11895054801319167,0.11075497020370967,-0.04338858660770134,24.13888291286373,17.605696935605014,29.877185825798858
2015-12-27 10:00:00,-70.693,-11.9122,,2.4,985.4,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.13888291286373,17.605696935605014,29.877185825798858
2015-12-27 11:00:00,-70.693,-11.9122,0.04,2.3,985.2,-0.4,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.13888291286373,17.605696935605014,29.877185825798858
2015-12-27 12:00:00,-70.692,-11.9252,,2.3,985.1,-0.4,15.4,48.0,0,2015P21,-479.90475681491495,111.57065373228866,492.7033452168078,3600.0,0.13686204033800217,-0.13330687689303192,0.030991848258969074,24.622548768029215,17.49412628187315,30.20454207896723
2015-12-27 13:00:00,-70.692,-11.9252,,2.5,984.9,-0.5,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.622548768029215,17.49412628187315,30.20454207896723
2015-12-27 14:00:00,-70.692,-11.9252,0.046,2.7,984.7,-0.5,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.622548768029215,17.49412628187315,30.20454207896723
2015-12-27 15:00:00,-70.7014,-11.9184,,2.2,984.4,-0.7,15.4,48.0,0,2015P21,251.03960065393483,-1048.764629691511,1078.391454708567,3600.0,0.29955318186349084,0.06973322240387078,-0.2913235082476419,24.369554355499886,18.5428909115645,30.6221159106265
2015-12-27 16:00:00,-70.7014,-11.9184,,2.5,983.9,-1.0,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.369554355499886,18.5428909115645,30.6221159106265
2015-12-27 17:00:00,-70.7014,-11.9184,0.1,2.6,983.8,-0.8,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.369554355499886,18.5428909115645,30.6221159106265
2015-12-27 18:00:00,-70.711,-11.8898,,2.8,983.6,-0.8,15.4,48.0,0,2015P21,1055.3489418397119,-1071.079889913328,1503.6533907849064,3600.0,0.4176814974402518,0.29315248384436443,-0.29752219164259114,23.30548879456315,19.613970801477866,30.460690382109444
2015-12-27 19:00:00,-70.711,-11.8898,,2.7,983.5,-0.5,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.30548879456315,19.613970801477866,30.460690382109444
2015-12-27 20:00:00,-70.711,-11.8898,0.139,1.9,983.2,-0.6,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.30548879456315,19.613970801477866,30.460690382109444
2015-12-27 21:00:00,-70.7078,-11.8796,,1.2,983.0,-0.6,15.4,48.0,0,2015P21,376.2032236800632,357.0267556024901,518.6491778874347,3600.0,0.14406921607984297,0.10450089546668423,0.09917409877846947,22.92599656596105,19.256944045875446,29.940461127518322
2015-12-27 22:00:00,-70.7078,-11.8796,,1.0,982.9,-0.6,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,22.92599656596105,19.256944045875446,29.940461127518322
2015-12-27 23:00:00,-70.7078,-11.8796,0.048,0.2,982.7,-0.5,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,22.92599656596105,19.256944045875446,29.940461127518322
2015-12-28 00:00:00,-70.7006,-11.8996,,-0.8,982.7,-0.3,15.4,48.0,0,2015P21,-737.7710060460444,803.3097407613323,1090.6936311193126,3600.0,0.30297045308869797,-0.20493639056834564,0.22314159465592562,23.67009882039874,18.453634305114324,30.013500249626567
2015-12-28 01:00:00,-70.7006,-11.8996,,-1.6,982.5,-0.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.67009882039874,18.453634305114324,30.013500249626567
2015-12-28 02:00:00,-70.7006,-11.8996,0.101,-2.3,982.4,-0.3,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.67009882039874,18.453634305114324,30.013500249626567
2015-12-28 03:00:00,-70.6986,-11.9092,,-3.0,982.1,-0.6,15.4,48.0,0,2015P21,-354.25711907609855,223.1414817610192,418.6767575333032,3600.0,0.11629909931480645,-0.09840475529891626,0.06198374493361645,24.027267676096393,18.230492823353227,30.160577921537246
2015-12-28 04:00:00,-70.6986,-11.9092,,-3.2,982.1,-0.5,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.027267676096393,18.230492823353227,30.160577921537246
2015-12-28 05:00:00,-70.6986,-11.9092,0.039,-2.9,981.8,-0.7,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,24.027267676096393,18.230492823353227,30.160577921537246
2015-12-28 06:00:00,-70.7012,-11.9044,,-2.6,981.7,-0.4,15.4,48.0,0,2015P21,177.1462029134488,-290.0839358622959,339.896259249809,3600.0,0.0944156275693914,0.04920727858706911,-0.08057887107285998,23.848683266846848,18.5205767592152,30.195553597448136
2015-12-28 07:00:00,-70.7012,-11.9044,,-2.4,981.6,-0.4,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.848683266846848,18.5205767592152,30.195553597448136
2015-12-28 08:00:00,-70.7012,-11.9044,0.031,-2.1,981.6,-0.2,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.848683266846848,18.5205767592152,30.195553597448136
2015-12-28 09:00:00,-70.696,-11.8956,,-1.9,981.6,-0.1,15.4,48.0,0,2015P21,324.72598868208627,580.1677887587254,664.8621141550685,3600.0,0.18468392059863015,0.09020166352280175,0.16115771909964594,23.521278420144125,17.940408970456595,29.58223812603058
2015-12-28 10:00:00,-70.696,-11.8956,,-1.5,981.6,0.0,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.521278420144125,17.940408970456595,29.58223812603058
2015-12-28 11:00:00,-70.696,-11.8956,0.062,-1.6,981.4,-0.2,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,23.521278420144125,17.940408970456595,29.58223812603058
