time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2015-12-23 16:00:00,-70.5352,-11.2634,,2.0,992.4,-25.5,15.4,44.0,60,2015P21,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-23 17:00:00,-70.5352,-11.2634,0.0,1.9,991.9,-25.5,15.4,44.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-23 18:00:00,-70.5434,-11.3338,,1.8,991.4,-1.5,15.4,48.0,0,2015P21,-2619.27455803148,-914.8638872093323,2774.450421699904,3600.0,0.7706806726944178,-0.7275762661198556,-0.25412885755814785,2.61927455803148,0.9148638872093323,2.7744504216999037
2015-12-23 19:00:00,-70.5434,-11.3338,,1.7,991.1,-1.3,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,2.61927455803148,0.9148638872093323,2.7744504216999037
2015-12-23 20:00:00,-70.5434,-11.3338,0.257,1.5,990.9,-1.0,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,2.61927455803148,0.9148638872093323,2.7744504216999037
2015-12-23 21:00:00,-70.5546,-11.3872,,1.4,990.4,-1.1,15.4,48.0,0,2015P21,-1985.9753821450865,-1249.5715296878245,2346.385992604945,3600.0,0.6517738868347069,-0.5516598283736351,-0.3471032026910624,4.606053300320043,2.164435416897109,5.089254137818991
2015-12-23 22:00:00,-70.5546,-11.3872,,1.2,990.0,-1.2,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,4.606053300320043,2.164435416897109,5.089254137818991
2015-12-23 23:00:00,-70.5546,-11.3872,0.217,0.9,989.6,-1.3,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,4.606053300320043,2.164435416897109,5.089254137818991
2015-12-24 00:00:00,-70.5616,-11.4036,,0.7,989.1,-1.3,15.4,48.0,0,2015P21,-609.5877850789848,-780.9829927908498,990.7228183230944,3600.0,0.27520078286752625,-0.16932994029971798,-0.2169397202196805,5.21622488819423,2.9454184096878304,5.990366574120894
2015-12-24 01:00:00,-70.5616,-11.4036,,0.3,988.8,-1.2,15.4,48.0,60,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,5.21622488819423,2.9454184096878304,5.990366574120894
2015-12-24 02:00:00,-70.5616,-11.4036,0.092,0.1,988.4,-1.1,15.4,48.0,120,2015P21,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,5.21622488819423,2.9454184096878304,5.990366574120894
