time,Unit_ID,latitude (deg),longitude (deg),Altitude,Bearing,Speed,temperature (degC),Battery Level,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2017-07-05 00:00:28,Trident_U2,-62.83098,30.20363,8170,0,0.0,-5.0,4.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-07-05 04:00:28,Trident_U2,-62.8392,30.36625,8167,93,2.08,-7.0,4.5,8288.018629632494,-916.1932511653127,8338.50483471804,14400.0,0.5790628357443083,0.5755568492800343,-0.0636245313309245,8.288018629632493,0.9161932511653127,8.33850483471804
2017-07-05 08:00:11,Trident_U2,-62.81768,30.48763,8166,80,1.65,-8.0,4.5,6184.473005501076,2398.596106463373,6633.322669500765,14383.0,0.4611918702287955,0.42998491312668263,0.16676605064752645,14.474209869198887,1.4824028552980462,14.549923352478881
2017-07-05 12:00:28,Trident_U2,-62.8007,30.57325,8170,79,1.19,-7.0,4.5,4365.642388406916,1892.5673616246916,4758.2186458529095,14417.0,0.3300422172333294,0.3028121237710284,0.13127331356209276,18.837867760811243,3.374970216922654,19.13780775687034
2017-07-05 16:00:10,Trident_U2,-62.77953,30.68835,8163,80,1.58,-9.0,4.5,5872.167212796541,2359.572529797518,6328.501425963161,14382.0,0.4400293023197859,0.40829976448314154,0.16406428381292715,24.70397229760455,5.734542746720007,25.360820723998113
2017-07-05 20:00:28,Trident_U2,-62.74537,30.80025,8171,73,1.71,-9.0,4.5,5713.00811609149,3807.4009430977085,6865.476216259769,14418.0,0.47617396422941943,0.39624137301231027,0.2640727523302614,30.406969045370253,9.541943689818098,31.868988937614013
2017-07-06 00:00:28,Trident_U2,-62.71472,30.8918,2,71,1.44,-10.0,4.2,4679.456570988366,3416.1679284319966,5793.748105933978,14400.0,0.40234361846763733,0.3249622618741921,0.23723388391888867,35.07280875895954,12.958111618250213,37.39003304295919
2017-07-06 04:00:05,Trident_U2,-62.70637,31.00015,7920,86,1.4,-12.0,4.5,5543.9082469713,930.6663086776726,5621.481871263495,14377.0,0.39100520771117026,0.3856095323761077,0.06473299775180306,40.59483628393404,13.888777926927133,42.904998371086165
2017-07-06 08:00:28,Trident_U2,-62.6813,31.12308,8165,78,1.72,-12.0,4.5,6291.692560240329,2794.2213613226104,6884.262363438445,14423.0,0.47731140285921414,0.43622634405049776,0.19373371429817723,46.859894444722265,16.682999288249917,49.74105118131562
2017-07-06 12:00:28,Trident_U2,-62.64793,31.15998,8171,48,1.04,-9.0,4.5,1890.181856055879,3719.296981501539,4172.044760734154,14400.0,0.2897253306065385,0.13126262889276938,0.25828451260427354,48.7404740765816,20.40229626975136,52.83831475632652
2017-07-06 16:00:28,Trident_U2,-62.64458,31.15098,8166,290,0.15,-11.0,4.5,-461.5389583324039,373.37764459791435,593.6573721803234,14400.0,0.04122620640141134,-0.03205131655086138,0.025929003097077387,48.281796480549836,20.775673914349202,52.56196817076587
2017-07-06 20:00:28,Trident_U2,-62.64482,31.16198,8162,91,0.14,-10.0,4.5,564.1668392716325,-26.749437213807802,564.8006329006718,14400.0,0.03922226617365776,0.0391782527271967,-0.0018575998065144307,48.84240239901667,20.74892447713513,53.06692132642826
2017-07-07 00:00:29,Trident_U2,-62.6213,31.11265,0,295,0.91,-9.0,4.2,-2530.0113209994074,2621.440457796516,3643.200153458162,14401.0,0.2529824424316479,-0.17568303041451339,0.18203183513620694,46.32833695059787,23.370364934931764,51.88919696622815
2017-07-07 04:00:28,Trident_U2,-62.61763,30.97985,8168,272,1.7,-8.0,4.5,-6816.372075258261,409.0419924569422,6828.634096212343,14399.0,0.474243634711601,-0.47339204634059734,0.02840766667525121,39.56025451587593,23.779406927388454,46.15705721966265
2017-07-07 08:00:10,Trident_U2,-62.62225,30.88723,8163,267,1.19,-8.0,4.5,-4754.596478705837,-514.9248322400141,4782.3984838341685,14382.0,0.33252666415200727,-0.33059355296244175,-0.035803423184537206,34.83989941089446,23.26448209514832,41.893373200504165
2017-07-07 12:00:28,Trident_U2,-62.59463,30.79547,8166,287,1.4,-7.0,4.5,-4709.7165844860265,3078.398338921671,5626.541267889042,14418.0,0.3902442272082842,-0.32665533253475004,0.21351077395766896,30.163356218115723,26.342880434070402,40.04716479233792
2017-07-07 16:00:10,Trident_U2,-62.57192,30.60933,7912,277,2.46,-10.0,4.5,-9562.785690475788,2531.143119702506,9892.095614903135,14382.0,0.6878108479281835,-0.6649134814682094,0.17599382003215866,20.676697156074702,28.874023553772556,35.51387111352182
2017-07-07 20:00:28,Trident_U2,-62.55067,30.47052,0,279,1.87,-11.0,4.2,-7136.691328085489,2368.4113153319768,7519.423865627151,14418.0,0.5215303000157546,-0.4949848334086204,0.16426767341739332,13.602190978117433,31.24243486910459,34.075054452713964
2017-07-08 00:00:28,Trident_U2,-62.48627,30.37775,8167,305,2.15,-13.0,4.5,-4773.023200826049,7177.635145229635,8619.756188759598,14400.0,0.5985941797749721,-0.331459944501809,0.4984468850853913,8.874122172240186,38.42007001433408,39.43160945528572
2017-07-08 04:00:28,Trident_U2,-62.41828,30.24318,8164,297,2.56,-12.0,4.5,-6938.591330249618,7577.682448441914,10274.498573538263,14400.0,0.7135068453846016,-0.4818466201562235,0.5262279478084663,2.0156882224535475,45.997752462776155,46.04189647089885
2017-07-08 08:00:28,Trident_U2,-62.37643,30.1281,2,290,1.88,-13.0,4.1,-5947.158149619333,4664.266692149022,7558.046958842901,14400.0,0.5248643721418682,-0.4129970937235648,0.3239074091770154,3.849429206297831,50.662019154924764,50.80805339774653
2017-07-08 12:00:28,Trident_U2,-62.33253,30.11258,8168,341,1.24,-14.0,4.5,-803.1695668090821,4892.712949401539,4958.197390008771,14400.0,0.34431926319505357,-0.05577566436174181,0.33977173259732907,4.640414671393944,55.554732104326604,55.748199141371245
2017-07-08 16:00:10,Trident_U2,-62.27975,30.10588,4,353,1.47,-13.0,4.1,-347.2359519590759,5882.359462753413,5892.599227452818,14382.0,0.409720430222001,-0.02414378750932248,0.4090084454702693,4.981883891976764,61.43709156707997,61.63874907341084
2017-07-08 20:00:28,Trident_U2,-62.26175,30.1209,8163,40,0.54,-15.0,4.5,779.7958453959254,2006.0994087130757,2152.3281344013735,14418.0,0.14928063076719195,0.054084883159656365,0.13913853576869717,4.216381233834444,63.443190975793165,63.58314518722705
