time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2015-07-26 15:00:00,-57.5066,18.7162,0.446,-1.4,985.9,-3.0,14.8,40.0,0,2015P6,107.85672812647886,1603.7142172551069,1607.3370413290143,3600.0,0.44648251148028173,0.02996020225735524,0.4454761714597519,943.603839728429,1223.714902035843,1545.2722633292901
2015-07-26 16:00:00,-57.4922,18.712,0.451,-1.4,986.7,-0.1,14.8,36.0,0,2015P6,-251.76486188185766,1603.7105319763705,1623.3524004510923,3600.0,0.45093122234752564,-0.06993468385607157,0.445475147771214,943.4349243355458,1225.318612567819,1546.4395102173062
2015-07-26 17:00:00,-57.479,18.704,0.43,-1.4,986.8,0.3,14.8,40.0,0,2015P6,-479.7409688170104,1470.064749505243,1546.3640466912689,3600.0,0.4295455685253525,-0.13326138022694733,0.40835131930701196,943.1131776735322,1226.788677317324,1547.4084543828294
2015-07-26 18:00:00,-57.4712,18.6972,0.267,-1.2,986.7,0.8,14.8,36.0,0,2015P6,-407.92694717290885,868.673168549045,959.6861299335563,3600.0,0.266579480537099,-0.11331304088136357,0.24129810237473473,942.8396898599603,1227.6573504858736,1547.9306350664494
2015-07-26 19:00:00,-57.4666,18.6968,0.142,-1.2,986.4,-0.3,14.8,36.0,0,2015P6,-24.000816101077262,512.2939255886718,512.8558329282891,3600.0,0.14245995359119143,-0.0066668933614103506,0.14230386821907548,942.823602251367,1228.1696444114614,1548.327168403377
2015-07-26 20:00:00,-57.4658,18.7054,0.145,-1.2,986.1,-0.7,14.8,40.0,0,2015P6,516.0823755212767,89.09455734141441,523.7163912572784,3600.0,0.145476775349244,0.14335621542257687,0.02474848815039289,943.1694836287074,1228.2587389688033,1548.6084736632683
2015-07-26 21:00:00,-57.4634,18.721,0.27,-1.2,986.8,0.1,14.8,36.0,0,2015P6,936.1698751433431,267.2836037366237,973.578224875813,3600.0,0.27043839579883694,0.26004718753981754,0.07424544548239548,943.7968845385061,1228.5260225725392,1549.2026166394419
2015-07-26 22:00:00,-57.463,18.7358,0.247,-1.2,987.2,0.7,14.8,40.0,0,2015P6,888.2193700307826,44.547257330098205,889.3357675442466,3600.0,0.24703771320673515,0.2467276027863285,0.012374238147249502,944.3920969465189,1228.5705698298693,1549.6006188134843
2015-07-26 23:00:00,-57.4642,18.7512,0.259,-1.2,986.8,0.7,14.8,40.0,0,2015P6,924.2383574247499,-133.64178052729162,933.8504520734059,3600.0,0.25940290335372385,0.25673287706243053,-0.03712271681313656,945.011425006547,1228.4369280493424,1549.8722139544957
2015-07-27 00:00:00,-57.4684,18.773,0.386,-1.2,986.4,-0.4,14.8,40.0,0,2015P6,1308.294544622151,-467.7464335158129,1389.3960348132725,3600.0,0.3859433430036868,0.36341515128393087,-0.12992956486550358,945.8881107129789,1227.969181615826,1550.0363315053007
2015-07-27 01:00:00,-57.4784,18.7932,0.457,-1.2,984.7,-2.4,14.8,40.0,0,2015P6,1212.133898347315,-1113.6832471311163,1646.0738022528533,3600.0,0.4572427228480148,0.33670386065203195,-0.3093564575364212,946.7004258742231,1226.8554983686956,1549.6503186938453
2015-07-27 02:00:00,-57.4896,18.8178,0.537,-1.2,983.0,-3.8,14.8,40.0,0,2015P6,1475.7599041115263,-1247.327347660598,1932.2765865179042,3600.0,0.5367434962549734,0.4099333066976462,-0.34647981879461054,947.6896463326484,1225.6081710210349,1549.2679092525045
2015-07-27 03:00:00,-57.5024,18.8418,0.563,-1.1,981.7,-4.7,14.8,36.0,0,2015P6,1439.3251843635835,-1425.519699311099,2025.7747652360738,3600.0,0.5627152125655761,0.3998125512121065,-0.39597769425308305,948.6547027660451,1224.1826513217234,1548.7313869348739
2015-07-27 04:00:00,-57.5154,18.8668,0.579,-1.2,979.8,-4.9,14.8,36.0,0,2015P6,1498.7724999781224,-1447.7964252353383,2083.850641388412,3600.0,0.57884740038567,0.4163256944383673,-0.40216567367648287,949.6599313030366,1222.7348548964878,1548.2036398682258
2015-07-27 05:00:00,-57.5298,18.8912,0.603,-1.2,977.9,-5.1,14.8,36.0,0,2015P6,1462.2819082701371,-1603.716468949908,2170.293734045075,3600.0,0.6028593705680764,0.40618941896392696,-0.44547679693053,950.6409963526189,1221.1311384275382,1547.5398415496886
2015-07-27 06:00:00,-57.544,18.915,0.591,-1.3,973.1,-8.6,14.8,40.0,0,2015P6,1425.7621776669464,-1581.4462366208356,2129.2651282984457,3600.0,0.5914625356384572,0.3960450493519296,-0.43929062128356544,951.5979006462915,1219.5496921909173,1546.880737561041
2015-07-27 07:00:00,-57.5544,18.9426,0.561,-1.3,975.9,-3.9,14.8,40.0,0,2015P6,1652.7621164362952,-1158.244586269422,2018.2054244177937,3600.0,0.5606126178938315,0.4591005878989709,-0.32173460729706166,952.7075431562072,1218.3914476046475,1546.651021524534
2015-07-27 08:00:00,-57.5644,18.971,0.565,-1.3,975.3,-2.6,14.8,36.0,0,2015P6,1700.183798908195,-1113.698528960189,2032.4737054825557,3600.0,0.5645760293007099,0.47227327747449865,-0.3093607024889414,953.8492989107922,1217.2777490756878,1546.4778056691866
2015-07-27 09:00:00,-57.577,18.9964,0.575,-1.4,974.5,1.4,14.8,40.0,0,2015P6,1520.1702488518094,-1403.2626745357338,2068.8314864288377,3600.0,0.5746754128968994,0.4222695135699471,-0.3897951873710372,954.8704033881673,1215.874486401152,1546.0039631087452
