time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-10-25 02:00:00+00:00,-59.2678,0.1672,,Point,33.55,969.2,ISVP4,296.52146505430017,334.1993402407143,446.78202543889034,3600.0,0.12410611817746954,0.08236707362619448,0.09283315006686509
2019-10-25 03:00:00+00:00,-59.2648,0.1722,,Point,34.35,968.9,ISVP4,285.14186241577295,334.1991851043704,439.31193590245283,3600.0,0.1220310933062369,0.07920607289327027,0.09283310697343622
2019-10-25 04:00:00+00:00,-59.2618,0.1772,,Point,34.54,968.8,ISVP4,285.1669307126707,334.1990299601827,439.32808924357687,3600.0,0.12203558034543802,0.0792130363090752,0.09283306387782853
2019-10-25 05:00:00+00:00,-59.259,0.1832,,Point,34.85,968.9,ISVP4,342.23039782582975,311.9189546486101,463.0497591675298,3600.0,0.1286249331020916,0.09506399939606382,0.08664415406905836
2019-10-25 06:00:00+00:00,-59.2558,0.1898,,Point,-4.96,969.0,ISVP4,376.4843198043969,356.47863980555974,518.4760975167528,3600.0,0.144021138199098,0.10457897772344357,0.09902184439043327
2019-10-25 07:00:00+00:00,-59.2522,0.197,,Point,-2.69,969.4,ISVP4,410.74866832201354,401.0382587498393,574.0611060761829,3600.0,0.15946141835449526,0.11409685231167042,0.11139951631939982
2019-10-25 08:00:00+00:00,-59.2478,0.2052,,Point,-0.14,969.5,ISVP4,467.8464224259207,490.1575683392869,677.5948027966388,3600.0,0.18822077855462188,0.12995733956275576,0.13615488009424637
2019-10-25 09:00:00+00:00,-59.2432,0.214,,Point,1.91,969.8,ISVP4,502.14378595280516,512.4371008636849,717.4539456387392,3600.0,0.19929276267742757,0.1394843849868903,0.14234363912880135
2019-10-25 10:00:00+00:00,-59.2384,0.2212,,Point,4.43,970.0,ISVP4,410.9002545497226,534.7165857628664,674.3595823289854,3600.0,0.18732210620249595,0.11413895959714516,0.14853238493412957
2019-10-25 11:00:00+00:00,-59.234,0.2262,,Point,6.89,970.4,ISVP4,285.3874975638428,490.1565212078113,567.1855419951181,3600.0,0.15755153944308836,0.07927430487884524,0.13615458922439203
2019-10-25 12:00:00+00:00,-59.2298,0.2286,,Point,4.87,970.7,ISVP4,137.0036413393594,467.8763678345019,487.5226080073107,3600.0,0.13542294666869742,0.038056567038710944,0.12996565773180607
2019-10-25 13:00:00+00:00,-59.2264,0.228,,Point,4.79,971.2,ISVP4,-34.255120283919666,378.7568368125977,380.30271455506414,3600.0,0.10563964293196226,-0.009515311189977685,0.10521023244794381
2019-10-25 14:00:00+00:00,-59.224,0.2248,,Point,3.06,971.6,ISVP4,-182.7121503829124,267.3576470981662,323.8268694216333,3600.0,0.08995190817267593,-0.05075337510636455,0.07426601308282393
2019-10-25 15:00:00+00:00,-59.2224,0.2198,,Point,0.73,972.2,ISVP4,-285.50778088566943,178.23837619446115,336.5763088731851,3600.0,0.09349341913144031,-0.07930771691268595,0.04951066005401699
2019-10-25 16:00:00+00:00,-59.2204,0.2136,,Point,0.57,972.8,ISVP4,-354.0462192242659,222.7979081365535,418.3152318730709,3600.0,0.11619867552029747,-0.09834617200674052,0.06188830781570931
2019-10-25 17:00:00+00:00,-59.218,0.2072,,Point,-0.73,973.6,ISVP4,-365.4884464884299,267.3573986688661,452.83747983079854,3600.0,0.12578818884188847,-0.1015245684690083,0.07426594407468502
2019-10-25 18:00:00+00:00,-59.2148,0.2,,Point,-2.63,974.8,ISVP4,-411.2033666010196,356.47637697040363,544.2091657092499,3600.0,0.15116921269701386,-0.1142231573891721,0.09902121582511213
2019-10-25 19:00:00+00:00,-59.2112,0.1922,,Point,-3.86,976.2,ISVP4,-445.5120054879704,401.0357128962558,599.4252163966089,3600.0,0.1665070045546136,-0.12375333485776956,0.11139880913784883
2019-10-25 20:00:00+00:00,-59.2068,0.1842,,Point,-4.27,977.7,ISVP4,-456.9834943220416,490.15445650846794,670.1382732823839,3600.0,0.18614952035621776,-0.12693985953390044,0.13615401569679664
2019-10-25 21:00:00+00:00,-59.202,0.177,,Point,-4.58,978.8,ISVP4,-411.33805720411027,534.7135715214977,674.6240440969531,3600.0,0.18739556780470917,-0.11426057144558618,0.14853154764486046
2019-10-25 22:00:00+00:00,-59.1966,0.173,,Point,-3.49,979.5,ISVP4,-228.55320945088144,601.5522926612973,643.5073662020984,3600.0,0.17875204616724955,-0.06348700262524484,0.1670978590725826
2019-10-26 00:00:00+00:00,-59.1816,0.1568,,Point,-3.9,981.3,ISVP4,-925.7865911864584,1670.975949759455,1910.2987821529794,7200.0,0.26531927529902494,-0.12858147099811923,0.23207999302214652
2019-10-26 01:00:00+00:00,-59.1756,0.1476,,Point,-4.27,982.0,ISVP4,-525.9857895676962,668.3892922686653,850.5323608461703,3600.0,0.2362589891239362,-0.1461071637688045,0.18566369229685145
2019-10-26 02:00:00+00:00,-59.1684,0.141,,Point,-4.45,982.6,ISVP4,-377.40375089266814,802.0663301914024,886.4220153034099,3600.0,0.24622833758428053,-0.10483437524796338,0.2227962028309451
2019-10-26 03:00:00+00:00,-59.1614,0.1348,,Point,35.6,983.2,ISVP4,-354.6053253697049,779.7858516284585,856.6276385807748,3600.0,0.237952121827993,-0.09850147926936247,0.21660718100790516
2019-10-26 04:00:00+00:00,-59.1534,0.127,,Point,34.64,984.0,ISVP4,-446.20752799680474,891.1827941365173,996.6483485191702,3600.0,0.2768467634775473,-0.12394653555466799,0.24755077614903256
2019-10-26 05:00:00+00:00,-59.1454,0.1184,,Point,34.8,985.0,ISVP4,-492.08725044714873,891.1816885957038,1018.01506086154,3600.0,0.28278196135042777,-0.13669090290198577,0.24755046905436218
2019-10-26 06:00:00+00:00,-59.1376,0.1114,,Point,35.62,986.0,ISVP4,-400.629607071852,868.9010817978457,956.8140738994243,3600.0,0.2657816871942845,-0.11128600196440333,0.2413614116105127
2019-10-26 07:00:00+00:00,-59.1284,0.1056,,Point,-4.75,987.0,ISVP4,-332.0257523388014,1024.8563349862181,1077.2982909006819,3600.0,0.2992495252501894,-0.09222937564966706,0.2846823152739495
2019-10-26 08:00:00+00:00,-59.1182,0.1012,,Point,-4.3,987.9,ISVP4,-251.9491610774573,1136.2520528034602,1163.850122338659,3600.0,0.32329170064962753,-0.06998587807707148,0.3156255702231834
2019-10-26 09:00:00+00:00,-59.1072,0.0976,,Point,-3.5,988.5,ISVP4,-206.2014972914933,1225.367845389544,1242.5962393311302,3600.0,0.34516562203642503,-0.057278193692081474,0.3403799570526511
2019-10-26 10:00:00+00:00,-59.0956,0.0948,,Point,-2.01,989.2,ISVP4,-160.43033246369075,1292.2038252743869,1302.1246551802053,3600.0,0.3617012931056126,-0.0445639812399141,0.358945507020663
2019-10-26 11:00:00+00:00,-59.0836,0.0912,,Point,-2.37,990.3,ISVP4,-206.33723894832738,1336.7601292409945,1352.591105731965,3600.0,0.3757197515922125,-0.05731589970786872,0.37132225812249847
2019-10-26 12:00:00+00:00,-59.0716,0.0864,,Point,-1.84,990.8,ISVP4,-275.2124012366191,1336.75763856573,1364.7940687364717,3600.0,0.3791094635379088,-0.07644788923239419,0.37132156626825835
2019-10-26 13:00:00+00:00,-59.0606,0.0808,,Point,-2.89,991.6,ISVP4,-321.19321692527217,1225.3589802247443,1266.7555853503193,3600.0,0.3518765514861998,-0.08922033803479783,0.34037749450687343
2019-10-26 14:00:00+00:00,-59.0506,0.0748,,Point,-3.09,992.5,ISVP4,-344.24565682076667,1113.9608924207832,1165.939081634572,3600.0,0.3238719671207144,-0.09562379356132407,0.30943358122799536
2019-10-26 15:00:00+00:00,-59.0414,0.0688,,Point,-3.98,993.3,ISVP4,-344.345706823748,1024.8424924914011,1081.1457349608027,3600.0,0.3003182597113341,-0.09565158522881889,0.28467847013650033
2019-10-26 16:00:00+00:00,-59.0332,0.0646,,Point,-4.03,993.9,ISVP4,-241.1064204502587,913.4453345218917,944.7299535540025,3600.0,0.262424987098334,-0.06697400568062742,0.2537348151449699
2019-10-26 17:00:00+00:00,-59.0252,0.062,,Point,-4.93,994.4,ISVP4,-149.29189972243225,891.1650581793465,903.5835502279414,3600.0,0.2509954306188726,-0.04146997214512007,0.24754584949426292
2019-10-26 18:00:00+00:00,-59.0176,0.0598,,Point,34.84,995.3,ISVP4,-126.35325492208096,846.6057788424446,855.9827625594027,3600.0,0.23777298959983406,-0.035098126367244714,0.23516827190067904
2019-10-26 19:00:00+00:00,-59.0102,0.0588,,Point,33.74,996.2,ISVP4,-57.44596608945233,824.3257182887868,826.3249535456828,3600.0,0.2295347093182452,-0.015957212802625645,0.22897936619132966
2019-10-26 20:00:00+00:00,-59.0032,0.0594,,Point,33.09,996.9,ISVP4,34.474980073599745,779.7666984416221,780.5284288542108,3600.0,0.216813452459503,0.009576383353777708,0.21660186067822837
2019-10-26 21:00:00+00:00,-58.9962,0.0614,,Point,32.68,997.2,ISVP4,114.93993311097884,779.7658496684546,788.1915811100264,3600.0,0.21894210586389623,0.031927759197494125,0.21660162490790405
2019-10-26 22:00:00+00:00,-58.9894,0.065,,Point,32.47,997.2,ISVP4,206.9338756193714,757.4860125444204,785.243075792012,3600.0,0.2181230766088922,0.05748163211649206,0.210412781262339
2019-10-26 23:00:00+00:00,-58.9828,0.07,,Point,32.44,997.3,ISVP4,287.4648177085639,735.2062460079133,789.4075282066077,3600.0,0.21927986894627993,0.07985133825237886,0.20422395722442035
2019-10-27 00:00:00+00:00,-58.9764,0.0754,,Point,32.61,997.2,ISVP4,310.52138890980353,712.9265479962875,777.6167409517212,3600.0,0.21600465026436702,0.08625594136383431,0.19803515222119097
