time,Unit_ID,latitude (deg),longitude (deg),Altitude,Bearing,Speed,temperature (degC),Battery Level,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2017-07-05 00:00:28,Trident_U3,-62.58783,29.97742,3,0,0.0,-5.0,4.1,,,,0.0,,,
2017-07-05 04:00:28,Trident_U3,-62.59525,30.10448,8168,93,1.64,-7.0,4.5,6529.093719346739,-826.9971071947678,6581.260442447294,14400.0,0.457031975169951,0.45340928606574576,-0.057430354666303314
2017-07-05 08:00:28,Trident_U3,-62.57353,30.16222,1,69,0.95,-7.0,4.1,2966.2829645811885,2420.8030554400084,3828.723293630952,14400.0,0.26588356205770497,0.2059918725403603,0.16811132329444503
2017-07-05 12:00:29,Trident_U3,-62.5613,30.21013,8169,76,0.7,-7.0,4.5,2463.0822897470794,1363.0915732628796,2815.1008868539666,14401.0,0.19547954217443,0.1710355037668967,0.09465256393742653
2017-07-05 16:01:03,Trident_U3,-62.54407,30.31758,8164,81,1.45,-8.0,4.5,5526.33829151585,1920.361238865623,5850.487347222608,14434.0,0.4053268218943195,0.3828694950475163,0.13304428702131238
2017-07-05 20:00:28,Trident_U3,-62.48837,30.422,8167,62,2.06,-10.0,4.5,5373.606065475489,6207.9836627425975,8210.645730013808,14365.0,0.5715729711112989,0.37407630111211204,0.4321603663586911
2017-07-06 00:00:28,Trident_U3,-62.44753,30.46653,8164,47,1.27,-10.0,4.5,2295.8594870329175,4551.746611527599,5097.97685359124,14400.0,0.35402617038828055,0.15943468659950816,0.3160935146894166
2017-07-06 04:00:28,Trident_U3,-62.43808,30.55433,8163,84,1.16,-11.0,4.5,4532.941331294818,1053.2284334294795,4653.691786737187,14400.0,0.32317304074563796,0.31478759245102905,0.07314086343260275
2017-07-06 08:00:28,Trident_U3,-62.4089,30.6326,8164,70,1.29,-11.0,4.5,4042.2017891151036,3252.1819971285636,5188.071226031161,14400.0,0.36028272402994177,0.28070845757743773,0.22584597202281692
2017-07-06 12:00:28,Trident_U3,-62.3975,30.61715,8170,306,0.37,-9.0,4.5,-798.6822943659312,1270.554008757292,1500.7334528499232,14400.0,0.10421760089235578,-0.05546404821985633,0.08823291727481195
2017-07-06 15:59:54,Trident_U3,-62.40952,30.59833,2,237,0.41,-10.0,4.1,-973.2631123352764,-1339.654374570746,1655.8728601976318,14366.0,0.11526332035344784,-0.06774767592477213,-0.09325173148898414
2017-07-06 20:00:28,Trident_U3,-62.40853,30.58448,8163,274,0.18,-9.0,4.5,-715.9560557398947,110.33767794396488,724.4083633729621,14434.0,0.05018763775619801,-0.04960205457530101,0.007644289728693701
2017-07-07 00:00:28,Trident_U3,-62.39603,30.47745,8164,277,1.42,-9.0,4.5,-5532.94570910841,1393.1511399697886,5705.642673594298,14400.0,0.3962251856662707,-0.3842323409103062,0.09674660694234642
2017-07-07 04:00:11,Trident_U3,-62.40348,30.33227,8163,267,1.88,-8.0,4.5,-7508.24830101286,-830.3177761251792,7554.02013228797,14383.0,0.5252047648117897,-0.5220224084692248,-0.05772910909582001
2017-07-07 08:00:28,Trident_U3,-62.39947,30.21288,8169,272,1.54,-8.0,4.5,-6172.938584383766,446.9228336648931,6189.096120260608,14417.0,0.4292915391732405,-0.4281708111523733,0.030999711012339122
2017-07-07 12:00:28,Trident_U3,-62.37225,30.06725,8168,281,2.02,-7.0,4.5,-7530.65728818127,3033.7187143619954,8118.759044946948,14400.0,0.5638027114546492,-0.5229623116792549,0.210674910719583
2017-07-07 16:00:28,Trident_U3,-62.353,29.86957,8163,276,2.6,-10.0,4.5,-10231.481975407987,2145.440441746286,10454.001057115836,14400.0,0.7259722956330442,-0.7105195816255546,0.1489889195657143
2017-07-07 20:00:08,Trident_U3,-62.33083,29.7218,7982,279,2.0,-12.0,4.5,-7653.153383207702,2470.8712683813183,8042.136627278586,14380.0,0.5592584580861326,-0.5322081629490752,0.1718269310418163
